# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Fri, 2024-03-15 15:15:34
# energy calib 0: 0.6693549
# energy calib 1: 0.8467742
# energy calib 2: 0
# live time (s): 1200.00
# real time (s): 1200.21
# column_1	column_2
1.516129	0.000000
2.362903	0.000000
3.209678	0.000000
4.056452	0.000000
4.903226	0.000000
5.750000	0.000000
6.596774	0.000000
7.443549	0.000000
8.290323	0.000000
9.137097	0.000000
9.983871	0.000000
10.830646	1.000000
11.677420	4.000000
12.524194	2.000000
13.370968	2.000000
14.217742	6.000000
15.064517	10.000000
15.911291	15.000000
16.758065	43.000000
17.604839	68.000000
18.451613	104.000000
19.298388	127.000000
20.145162	152.000000
20.991936	185.000000
21.838710	166.000000
22.685485	161.000000
23.532259	157.000000
24.379033	169.000000
25.225807	200.000000
26.072581	177.000000
26.919356	205.000000
27.766130	225.000000
28.612904	244.000000
29.459678	238.000000
30.306453	252.000000
31.153227	240.000000
32.000001	227.000000
32.846775	247.000000
33.693549	242.000000
34.540324	238.000000
35.387098	281.000000
36.233872	272.000000
37.080646	258.000000
37.927421	261.000000
38.774195	252.000000
39.620969	290.000000
40.467743	276.000000
41.314517	290.000000
42.161292	284.000000
43.008066	267.000000
43.854840	315.000000
44.701614	323.000000
45.548389	331.000000
46.395163	314.000000
47.241937	329.000000
48.088711	291.000000
48.935485	294.000000
49.782260	289.000000
50.629034	307.000000
51.475808	284.000000
52.322582	300.000000
53.169357	310.000000
54.016131	316.000000
54.862905	271.000000
55.709679	297.000000
56.556453	318.000000
57.403228	328.000000
58.250002	307.000000
59.096776	315.000000
59.943550	308.000000
60.790325	304.000000
61.637099	314.000000
62.483873	293.000000
63.330647	327.000000
64.177421	330.000000
65.024196	300.000000
65.870970	316.000000
66.717744	312.000000
67.564518	296.000000
68.411292	311.000000
69.258067	316.000000
70.104841	335.000000
70.951615	313.000000
71.798389	314.000000
72.645164	319.000000
73.491938	315.000000
74.338712	311.000000
75.185486	298.000000
76.032260	310.000000
76.879035	305.000000
77.725809	332.000000
78.572583	297.000000
79.419357	311.000000
80.266132	301.000000
81.112906	278.000000
81.959680	316.000000
82.806454	313.000000
83.653228	340.000000
84.500003	304.000000
85.346777	328.000000
86.193551	311.000000
87.040325	296.000000
87.887100	298.000000
88.733874	312.000000
89.580648	305.000000
90.427422	321.000000
91.274196	316.000000
92.120971	294.000000
92.967745	373.000000
93.814519	291.000000
94.661293	314.000000
95.508068	316.000000
96.354842	327.000000
97.201616	298.000000
98.048390	320.000000
98.895164	311.000000
99.741939	310.000000
100.588713	323.000000
101.435487	294.000000
102.282261	325.000000
103.129036	358.000000
103.975810	347.000000
104.822584	337.000000
105.669358	337.000000
106.516132	324.000000
107.362907	358.000000
108.209681	340.000000
109.056455	302.000000
109.903229	300.000000
110.750004	349.000000
111.596778	403.000000
112.443552	330.000000
113.290326	334.000000
114.137100	374.000000
114.983875	341.000000
115.830649	364.000000
116.677423	359.000000
117.524197	324.000000
118.370972	342.000000
119.217746	370.000000
120.064520	374.000000
120.911294	393.000000
121.758068	362.000000
122.604843	333.000000
123.451617	358.000000
124.298391	355.000000
125.145165	366.000000
125.991939	381.000000
126.838714	340.000000
127.685488	392.000000
128.532262	345.000000
129.379036	380.000000
130.225811	375.000000
131.072585	346.000000
131.919359	368.000000
132.766133	366.000000
133.612907	354.000000
134.459682	374.000000
135.306456	337.000000
136.153230	358.000000
137.000004	374.000000
137.846779	354.000000
138.693553	369.000000
139.540327	388.000000
140.387101	385.000000
141.233875	390.000000
142.080650	365.000000
142.927424	345.000000
143.774198	360.000000
144.620972	356.000000
145.467747	382.000000
146.314521	320.000000
147.161295	385.000000
148.008069	346.000000
148.854843	357.000000
149.701618	354.000000
150.548392	359.000000
151.395166	374.000000
152.241940	395.000000
153.088715	402.000000
153.935489	378.000000
154.782263	372.000000
155.629037	357.000000
156.475811	396.000000
157.322586	353.000000
158.169360	376.000000
159.016134	368.000000
159.862908	398.000000
160.709683	379.000000
161.556457	345.000000
162.403231	399.000000
163.250005	361.000000
164.096779	364.000000
164.943554	354.000000
165.790328	360.000000
166.637102	375.000000
167.483876	416.000000
168.330651	352.000000
169.177425	366.000000
170.024199	370.000000
170.870973	359.000000
171.717747	377.000000
172.564522	399.000000
173.411296	410.000000
174.258070	367.000000
175.104844	374.000000
175.951618	382.000000
176.798393	410.000000
177.645167	405.000000
178.491941	405.000000
179.338715	367.000000
180.185490	369.000000
181.032264	383.000000
181.879038	410.000000
182.725812	371.000000
183.572586	351.000000
184.419361	324.000000
185.266135	411.000000
186.112909	344.000000
186.959683	348.000000
187.806458	386.000000
188.653232	383.000000
189.500006	368.000000
190.346780	353.000000
191.193554	406.000000
192.040329	349.000000
192.887103	379.000000
193.733877	346.000000
194.580651	366.000000
195.427426	378.000000
196.274200	356.000000
197.120974	382.000000
197.967748	365.000000
198.814522	351.000000
199.661297	349.000000
200.508071	407.000000
201.354845	345.000000
202.201619	388.000000
203.048394	369.000000
203.895168	377.000000
204.741942	343.000000
205.588716	365.000000
206.435490	343.000000
207.282265	352.000000
208.129039	347.000000
208.975813	351.000000
209.822587	344.000000
210.669362	354.000000
211.516136	331.000000
212.362910	357.000000
213.209684	350.000000
214.056458	334.000000
214.903233	329.000000
215.750007	340.000000
216.596781	311.000000
217.443555	318.000000
218.290330	324.000000
219.137104	312.000000
219.983878	333.000000
220.830652	322.000000
221.677426	321.000000
222.524201	318.000000
223.370975	307.000000
224.217749	313.000000
225.064523	306.000000
225.911298	329.000000
226.758072	316.000000
