# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Fri, 2024-03-15 11:54:58
# energy calib 0: 0.6693549
# energy calib 1: 0.8467742
# energy calib 2: 0
# live time (s): 1200.00
# real time (s): 1200.30
# column_1	column_2
1.516129	0.000000
2.362903	0.000000
3.209678	0.000000
4.056452	0.000000
4.903226	0.000000
5.750000	0.000000
6.596774	0.000000
7.443549	0.000000
8.290323	0.000000
9.137097	0.000000
9.983871	1.000000
10.830646	2.000000
11.677420	2.000000
12.524194	4.000000
13.370968	5.000000
14.217742	12.000000
15.064517	32.000000
15.911291	87.000000
16.758065	146.000000
17.604839	221.000000
18.451613	327.000000
19.298388	392.000000
20.145162	447.000000
20.991936	386.000000
21.838710	412.000000
22.685485	374.000000
23.532259	381.000000
24.379033	368.000000
25.225807	384.000000
26.072581	412.000000
26.919356	373.000000
27.766130	384.000000
28.612904	363.000000
29.459678	377.000000
30.306453	352.000000
31.153227	333.000000
32.000001	375.000000
32.846775	401.000000
33.693549	378.000000
34.540324	356.000000
35.387098	380.000000
36.233872	417.000000
37.080646	435.000000
37.927421	406.000000
38.774195	359.000000
39.620969	404.000000
40.467743	435.000000
41.314517	419.000000
42.161292	423.000000
43.008066	407.000000
43.854840	435.000000
44.701614	383.000000
45.548389	407.000000
46.395163	430.000000
47.241937	416.000000
48.088711	422.000000
48.935485	401.000000
49.782260	413.000000
50.629034	435.000000
51.475808	396.000000
52.322582	402.000000
53.169357	410.000000
54.016131	385.000000
54.862905	417.000000
55.709679	427.000000
56.556453	412.000000
57.403228	397.000000
58.250002	423.000000
59.096776	437.000000
59.943550	453.000000
60.790325	440.000000
61.637099	403.000000
62.483873	414.000000
63.330647	423.000000
64.177421	448.000000
65.024196	442.000000
65.870970	425.000000
66.717744	486.000000
67.564518	443.000000
68.411292	449.000000
69.258067	473.000000
70.104841	443.000000
70.951615	458.000000
71.798389	435.000000
72.645164	492.000000
73.491938	518.000000
74.338712	454.000000
75.185486	449.000000
76.032260	472.000000
76.879035	442.000000
77.725809	475.000000
78.572583	490.000000
79.419357	487.000000
80.266132	483.000000
81.112906	481.000000
81.959680	445.000000
82.806454	443.000000
83.653228	492.000000
84.500003	450.000000
85.346777	448.000000
86.193551	504.000000
87.040325	460.000000
87.887100	463.000000
88.733874	463.000000
89.580648	489.000000
90.427422	432.000000
91.274196	465.000000
92.120971	480.000000
92.967745	445.000000
93.814519	467.000000
94.661293	454.000000
95.508068	470.000000
96.354842	441.000000
97.201616	485.000000
98.048390	471.000000
98.895164	412.000000
99.741939	479.000000
100.588713	486.000000
101.435487	432.000000
102.282261	440.000000
103.129036	448.000000
103.975810	453.000000
104.822584	463.000000
105.669358	413.000000
106.516132	459.000000
107.362907	493.000000
108.209681	459.000000
109.056455	467.000000
109.903229	495.000000
110.750004	465.000000
111.596778	476.000000
112.443552	453.000000
113.290326	485.000000
114.137100	500.000000
114.983875	465.000000
115.830649	465.000000
116.677423	466.000000
117.524197	439.000000
118.370972	476.000000
119.217746	509.000000
120.064520	501.000000
120.911294	518.000000
121.758068	466.000000
122.604843	466.000000
123.451617	484.000000
124.298391	491.000000
125.145165	447.000000
125.991939	466.000000
126.838714	473.000000
127.685488	489.000000
128.532262	531.000000
129.379036	497.000000
130.225811	495.000000
131.072585	502.000000
131.919359	486.000000
132.766133	530.000000
133.612907	510.000000
134.459682	457.000000
135.306456	519.000000
136.153230	488.000000
137.000004	470.000000
137.846779	542.000000
138.693553	461.000000
139.540327	532.000000
140.387101	526.000000
141.233875	474.000000
142.080650	491.000000
142.927424	539.000000
143.774198	490.000000
144.620972	546.000000
145.467747	477.000000
146.314521	499.000000
147.161295	471.000000
148.008069	498.000000
148.854843	568.000000
149.701618	516.000000
150.548392	543.000000
151.395166	531.000000
152.241940	466.000000
153.088715	514.000000
153.935489	453.000000
154.782263	521.000000
155.629037	468.000000
156.475811	478.000000
157.322586	474.000000
158.169360	494.000000
159.016134	512.000000
159.862908	525.000000
160.709683	480.000000
161.556457	500.000000
162.403231	509.000000
163.250005	496.000000
164.096779	504.000000
164.943554	505.000000
165.790328	491.000000
166.637102	462.000000
167.483876	523.000000
168.330651	496.000000
169.177425	544.000000
170.024199	456.000000
170.870973	483.000000
171.717747	499.000000
172.564522	474.000000
173.411296	482.000000
174.258070	467.000000
175.104844	496.000000
175.951618	526.000000
176.798393	498.000000
177.645167	520.000000
178.491941	505.000000
179.338715	461.000000
180.185490	498.000000
181.032264	486.000000
181.879038	498.000000
182.725812	475.000000
183.572586	488.000000
184.419361	466.000000
185.266135	472.000000
186.112909	474.000000
186.959683	458.000000
187.806458	516.000000
188.653232	465.000000
189.500006	485.000000
190.346780	453.000000
191.193554	482.000000
192.040329	487.000000
192.887103	444.000000
193.733877	446.000000
194.580651	448.000000
195.427426	459.000000
196.274200	466.000000
197.120974	401.000000
197.967748	442.000000
198.814522	481.000000
199.661297	466.000000
200.508071	466.000000
201.354845	423.000000
202.201619	463.000000
203.048394	519.000000
203.895168	442.000000
204.741942	461.000000
205.588716	429.000000
206.435490	433.000000
207.282265	405.000000
208.129039	429.000000
208.975813	413.000000
209.822587	423.000000
210.669362	442.000000
211.516136	401.000000
212.362910	452.000000
213.209684	408.000000
214.056458	412.000000
214.903233	421.000000
215.750007	384.000000
216.596781	423.000000
217.443555	399.000000
218.290330	433.000000
219.137104	406.000000
219.983878	404.000000
220.830652	382.000000
221.677426	380.000000
222.524201	429.000000
223.370975	391.000000
224.217749	382.000000
225.064523	345.000000
225.911298	379.000000
226.758072	363.000000
