# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Fri, 2024-03-15 11:33:44
# energy calib 0: 0.6693549
# energy calib 1: 0.8467742
# energy calib 2: 0
# live time (s): 1200.00
# real time (s): 1200.17
# column_1	column_2
1.516129	0.000000
2.362903	0.000000
3.209678	0.000000
4.056452	0.000000
4.903226	0.000000
5.750000	0.000000
6.596774	0.000000
7.443549	0.000000
8.290323	0.000000
9.137097	0.000000
9.983871	0.000000
10.830646	0.000000
11.677420	0.000000
12.524194	0.000000
13.370968	2.000000
14.217742	0.000000
15.064517	2.000000
15.911291	17.000000
16.758065	38.000000
17.604839	40.000000
18.451613	62.000000
19.298388	69.000000
20.145162	65.000000
20.991936	92.000000
21.838710	85.000000
22.685485	96.000000
23.532259	104.000000
24.379033	104.000000
25.225807	109.000000
26.072581	104.000000
26.919356	122.000000
27.766130	118.000000
28.612904	143.000000
29.459678	136.000000
30.306453	146.000000
31.153227	142.000000
32.000001	146.000000
32.846775	179.000000
33.693549	164.000000
34.540324	156.000000
35.387098	173.000000
36.233872	202.000000
37.080646	176.000000
37.927421	170.000000
38.774195	203.000000
39.620969	196.000000
40.467743	184.000000
41.314517	181.000000
42.161292	187.000000
43.008066	219.000000
43.854840	183.000000
44.701614	220.000000
45.548389	199.000000
46.395163	204.000000
47.241937	178.000000
48.088711	213.000000
48.935485	183.000000
49.782260	186.000000
50.629034	194.000000
51.475808	198.000000
52.322582	213.000000
53.169357	174.000000
54.016131	195.000000
54.862905	206.000000
55.709679	194.000000
56.556453	207.000000
57.403228	194.000000
58.250002	176.000000
59.096776	192.000000
59.943550	211.000000
60.790325	177.000000
61.637099	194.000000
62.483873	219.000000
63.330647	170.000000
64.177421	211.000000
65.024196	170.000000
65.870970	183.000000
66.717744	194.000000
67.564518	199.000000
68.411292	212.000000
69.258067	191.000000
70.104841	187.000000
70.951615	194.000000
71.798389	207.000000
72.645164	196.000000
73.491938	160.000000
74.338712	204.000000
75.185486	158.000000
76.032260	204.000000
76.879035	176.000000
77.725809	187.000000
78.572583	217.000000
79.419357	176.000000
80.266132	182.000000
81.112906	187.000000
81.959680	192.000000
82.806454	191.000000
83.653228	180.000000
84.500003	194.000000
85.346777	213.000000
86.193551	199.000000
87.040325	210.000000
87.887100	232.000000
88.733874	187.000000
89.580648	191.000000
90.427422	209.000000
91.274196	199.000000
92.120971	196.000000
92.967745	207.000000
93.814519	210.000000
94.661293	217.000000
95.508068	200.000000
96.354842	229.000000
97.201616	219.000000
