Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4.01e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-8.240000e-06,0.032,0,0
-8.230000e-06,0.032,0,0
-8.220000e-06,0.024,0,0
-8.210000e-06,0.032,0,0
-8.200000e-06,0.032,0,0.08
-8.190000e-06,0.024,0,0
-8.180000e-06,0.032,0.0008,0
-8.170000e-06,0.024,0,0
-8.160000e-06,0.032,0.0008,0
-8.150000e-06,0.032,0,0
-8.140000e-06,0.04,0,0
-8.130000e-06,0.032,0.0008,0
-8.120000e-06,0.032,0,0.08
-8.110000e-06,0.032,0,0.08
-8.100000e-06,0.032,0,0
-8.090000e-06,0.032,0,0
-8.080000e-06,0.04,0,0
-8.070000e-06,0.024,0,0
-8.060000e-06,0.032,0,0
-8.050000e-06,0.032,0,0
-8.040000e-06,0.032,0,0
-8.030000e-06,0.032,0,0
-8.020000e-06,0.024,0,0
-8.010000e-06,0.024,0,0
-8.000000e-06,0.032,-0.0008,0
-7.990000e-06,0.032,0,0
-7.980000e-06,0.024,0,0
-7.970000e-06,0.024,0,0.08
-7.960000e-06,0.032,0,0
-7.950000e-06,0.032,-0.0008,0.08
-7.940000e-06,0.04,0,0
-7.930000e-06,0.032,0,0.08
-7.920000e-06,0.032,0,0.08
-7.910000e-06,0.032,0,0
-7.900000e-06,0.04,0,0
-7.890000e-06,0.032,0,0.08
-7.880000e-06,0.032,0.0008,0
-7.870000e-06,0.032,0,0
-7.860000e-06,0.032,0,0
-7.850000e-06,0.032,0,0
-7.840000e-06,0.032,0,0
-7.830000e-06,0.032,0,0
-7.820000e-06,0.04,0,0.16
-7.810000e-06,0.032,0,0
-7.800000e-06,0.032,0,0
-7.790000e-06,0.032,0,0
-7.780000e-06,0.024,0,0.08
-7.770000e-06,0.024,0,0
-7.760000e-06,0.032,0,0
-7.750000e-06,0.024,0,0
-7.740000e-06,0.032,0,0
-7.730000e-06,0.024,0,0
-7.720000e-06,0.032,0,0
-7.710000e-06,0.032,0,0
-7.700000e-06,0.032,0.0008,0
-7.690000e-06,0.032,0,0
-7.680000e-06,0.016,0.0008,0
-7.670000e-06,0.024,0,0
-7.660000e-06,0.032,0,0
-7.650000e-06,0.032,0,0
-7.640000e-06,0.032,0,0
-7.630000e-06,0.032,0,0
-7.620000e-06,0.032,0,0
-7.610000e-06,0.024,0,0.08
-7.600000e-06,0.032,0,0
-7.590000e-06,0.032,0,0
-7.580000e-06,0.024,0,0.08
-7.570000e-06,0.032,-0.0008,0
-7.560000e-06,0.032,0,0
-7.550000e-06,0.024,0,0
-7.540000e-06,0.032,0,0
-7.530000e-06,0.04,0,0.08
-7.520000e-06,0.024,0,0
-7.510000e-06,0.032,0,0
-7.500000e-06,0.032,0,0
-7.490000e-06,0.032,0,0
-7.480000e-06,0.032,0,0
-7.470000e-06,0.032,0,0
-7.460000e-06,0.024,0,0
-7.450000e-06,0.032,0,0
-7.440000e-06,0.032,0,0
-7.430000e-06,0.032,0,0
-7.420000e-06,0.032,0,0
-7.410000e-06,0.024,0,0
-7.400000e-06,0.032,0,0
-7.390000e-06,0.024,0,0
-7.380000e-06,0.032,0,0
-7.370000e-06,0.024,0,0
-7.360000e-06,0.024,0,0
-7.350000e-06,0.04,0,0
-7.340000e-06,0.032,0,0.08
-7.330000e-06,0.032,0,0
-7.320000e-06,0.024,0,0
-7.310000e-06,0.032,0,0
-7.300000e-06,0.032,0,0
-7.290000e-06,0.032,0,0
-7.280000e-06,0.032,0,0
-7.270000e-06,0.032,0,0
-7.260000e-06,0.032,0,0
-7.250000e-06,0.032,0,0
-7.240000e-06,0.032,0,0.08
-7.230000e-06,0.032,0.0008,0
-7.220000e-06,0.024,0,0
-7.210000e-06,0.032,0,0
-7.200000e-06,0.032,0.0008,0
-7.190000e-06,0.024,0,0
-7.180000e-06,0.024,0,0
-7.170000e-06,0.04,0,0
-7.160000e-06,0.032,0,0
-7.150000e-06,0.024,0,0
-7.140000e-06,0.032,0,0
-7.130000e-06,0.032,-0.0008,0
-7.120000e-06,0.032,0,0
-7.110000e-06,0.032,0,0
-7.100000e-06,0.04,0,0
-7.090000e-06,0.024,0,0.08
-7.080000e-06,0.032,0,0
-7.070000e-06,0.032,0,0
-7.060000e-06,0.016,0,0
-7.050000e-06,0.032,0,0
-7.040000e-06,0.024,0,0.16
-7.030000e-06,0.032,0,0
-7.020000e-06,0.04,0,0.08
-7.010000e-06,0.024,0,0
-7.000000e-06,0.032,0,0
-6.990000e-06,0.032,0,0
-6.980000e-06,0.032,0,0.08
-6.970000e-06,0.032,0,0
-6.960000e-06,0.024,0,0
-6.950000e-06,0.032,-0.0008,0.08
-6.940000e-06,0.024,0,0.08
-6.930000e-06,0.032,0,0
-6.920000e-06,0.024,0,0
-6.910000e-06,0.032,0,0
-6.900000e-06,0.032,0,0
-6.890000e-06,0.032,0.0008,0
-6.880000e-06,0.032,0,0
-6.870000e-06,0.032,0,0
-6.860000e-06,0.024,0,0
-6.850000e-06,0.032,0,0.08
-6.840000e-06,0.032,0,0.08
-6.830000e-06,0.04,0,0
-6.820000e-06,0.024,0,0
-6.810000e-06,0.032,0,0.08
-6.800000e-06,0.032,-0.0008,0
-6.790000e-06,0.024,0,0
-6.780000e-06,0.032,-0.0008,0.08
-6.770000e-06,0.04,0,0
-6.760000e-06,0.024,0,0
-6.750000e-06,0.032,0,0
-6.740000e-06,0.032,0,0
-6.730000e-06,0.024,0,0
-6.720000e-06,0.024,0,0
-6.710000e-06,0.032,0,0
-6.700000e-06,0.032,0,0
-6.690000e-06,0.032,0,0
-6.680000e-06,0.032,0,0.08
-6.670000e-06,0.024,0,0
-6.660000e-06,0.024,0,0
-6.650000e-06,0.04,-0.0008,0
-6.640000e-06,0.032,0,0
-6.630000e-06,0.032,0,0
-6.620000e-06,0.032,0,0
-6.610000e-06,0.024,0,0
-6.600000e-06,0.032,0,0.08
-6.590000e-06,0.04,0,0
-6.580000e-06,0.024,0,0
-6.570000e-06,0.032,0,0
-6.560000e-06,0.024,0.0008,0
-6.550000e-06,0.024,0,0.08
-6.540000e-06,0.024,0,0
-6.530000e-06,0.032,0,0
-6.520000e-06,0.032,0,0
-6.510000e-06,0.032,0,0
-6.500000e-06,0.032,0,0
-6.490000e-06,0.032,0,0.08
-6.480000e-06,0.032,0,0
-6.470000e-06,0.032,0,0
-6.460000e-06,0.024,0,0
-6.450000e-06,0.032,0,0
-6.440000e-06,0.032,0,0.08
-6.430000e-06,0.032,0,0
-6.420000e-06,0.04,-0.0008,0
-6.410000e-06,0.032,0,0
-6.400000e-06,0.032,0,0
-6.390000e-06,0.032,0.0008,0.08
-6.380000e-06,0.032,0,0
-6.370000e-06,0.024,0,0
-6.360000e-06,0.032,0,0.08
-6.350000e-06,0.032,0,0.08
-6.340000e-06,0.032,0,0.08
-6.330000e-06,0.016,0,0
-6.320000e-06,0.032,0,0
-6.310000e-06,0.032,0,0
-6.300000e-06,0.032,0,0
-6.290000e-06,0.032,0,0
