Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-06,,
Horizontal Delay,1.604e-05,,
Sample Interval,4e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-3.960000e-06,0.048,0,0.72
-3.956000e-06,0.04,0.0008,0.8
-3.952000e-06,0.04,0,0.8
-3.948000e-06,0.032,0,0.72
-3.944000e-06,0.032,0,0.8
-3.940000e-06,0.032,0,0.8
-3.936000e-06,0.024,0.0008,0.72
-3.932000e-06,0.04,0,0.8
-3.928000e-06,0.032,0,0.8
-3.924000e-06,0.032,0,0.72
-3.920000e-06,0.032,0,0.8
-3.916000e-06,0.04,0,0.72
-3.912000e-06,0.032,0,0.72
-3.908000e-06,0.032,0,0.8
-3.904000e-06,0.024,0,0.8
-3.900000e-06,0.032,0,0.72
-3.896000e-06,0.032,0,0.72
-3.892000e-06,0.032,0,0.8
-3.888000e-06,0.032,0,0.72
-3.884000e-06,0.032,0,0.72
-3.880000e-06,0.024,0,0.8
-3.876000e-06,0.032,0,0.8
-3.872000e-06,0.032,0,0.8
-3.868000e-06,0.032,0,0.8
-3.864000e-06,0.032,0,0.8
-3.860000e-06,0.032,0.0008,0.72
-3.856000e-06,0.032,0,0.72
-3.852000e-06,0.032,0,0.72
-3.848000e-06,0.04,0,0.72
-3.844000e-06,0.032,0,0.8
-3.840000e-06,0.032,0,0.72
-3.836000e-06,0.032,0,0.72
-3.832000e-06,0.032,0,0.8
-3.828000e-06,0.04,-0.0008,0.72
-3.824000e-06,0.032,0,0.8
-3.820000e-06,0.032,0,0.8
-3.816000e-06,0.032,0,0.8
-3.812000e-06,0.032,0,0.72
-3.808000e-06,0.024,0,0.8
-3.804000e-06,0.04,0,0.8
-3.800000e-06,0.032,0,0.8
-3.796000e-06,0.04,0,0.8
-3.792000e-06,0.032,0,0.72
-3.788000e-06,0.032,0,0.72
-3.784000e-06,0.032,0,0.8
-3.780000e-06,0.04,0,0.72
-3.776000e-06,0.024,0.0008,0.8
-3.772000e-06,0.032,0,0.8
-3.768000e-06,0.024,0,0.8
-3.764000e-06,0.032,0.0008,0.72
-3.760000e-06,0.024,-0.0008,0.88
-3.756000e-06,0.032,-0.0008,0.64
-3.752000e-06,0.04,0,0.8
-3.748000e-06,0.032,0,0.72
-3.744000e-06,0.032,-0.0008,0.72
-3.740000e-06,0.032,0.0008,0.72
-3.736000e-06,0.032,0,0.8
-3.732000e-06,0.024,0,0.8
-3.728000e-06,0.032,-0.0008,0.72
-3.724000e-06,0.032,0,0.8
-3.720000e-06,0.032,0,0.8
-3.716000e-06,0.032,0,0.8
-3.712000e-06,0.024,0,0.8
-3.708000e-06,0.024,0,0.8
-3.704000e-06,0.032,0,0.72
-3.700000e-06,0.024,0,0.72
-3.696000e-06,0.024,0,0.72
-3.692000e-06,0.032,0,0.72
-3.688000e-06,0.024,0,0.72
-3.684000e-06,0.032,0,0.8
