#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 10:30:23
# Real time (s): 1227.290
# Live time (s): 1200.000
#
# Total counts:  1289348
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  2274
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
213	181.032	1887	1.5725
214	181.879	1906	1.58833
215	182.726	1936	1.61333
216	183.573	1948	1.62333
217	184.419	1993	1.66083
218	185.266	1969	1.64083
219	186.113	1934	1.61167
220	186.960	1873	1.56083
221	187.806	1970	1.64167
222	188.653	1929	1.6075
223	189.500	1918	1.59833
224	190.347	1863	1.5525
225	191.194	1841	1.53417
226	192.040	1930	1.60833
227	192.887	1944	1.62
228	193.734	1928	1.60667
229	194.581	1864	1.55333
230	195.427	1881	1.5675
231	196.274	1898	1.58167
232	197.121	1817	1.51417
233	197.968	1776	1.48
234	198.815	1800	1.5
235	199.661	1829	1.52417
236	200.508	1842	1.535
237	201.355	1855	1.54583
238	202.202	1872	1.56
239	203.048	1853	1.54417
240	203.895	1765	1.47083
241	204.742	1785	1.4875
242	205.589	1837	1.53083
243	206.435	1763	1.46917
244	207.282	1791	1.4925
245	208.129	1827	1.5225
246	208.976	1749	1.4575
247	209.823	1765	1.47083
248	210.669	1815	1.5125
249	211.516	1702	1.41833
250	212.363	1774	1.47833
251	213.210	1793	1.49417
252	214.056	1814	1.51167
253	214.903	1770	1.475
254	215.750	1801	1.50083
255	216.597	1726	1.43833
256	217.444	1790	1.49167
257	218.290	1805	1.50417
258	219.137	1725	1.4375
259	219.984	1722	1.435
260	220.831	1729	1.44083
261	221.677	1831	1.52583
262	222.524	1719	1.4325
263	223.371	1783	1.48583
264	224.218	1646	1.37167
265	225.065	1775	1.47917
266	225.911	1820	1.51667
267	226.758	1704	1.42
268	227.605	1678	1.39833
269	228.452	1653	1.3775
270	229.298	1717	1.43083
271	230.145	1753	1.46083
272	230.992	1646	1.37167
273	231.839	1701	1.4175
274	232.685	1672	1.39333
275	233.532	1707	1.4225
276	234.379	1641	1.3675
277	235.226	1727	1.43917
278	236.073	1681	1.40083
279	236.919	1685	1.40417
280	237.766	1709	1.42417
281	238.613	1629	1.3575
282	239.460	1633	1.36083
283	240.306	1737	1.4475
284	241.153	1683	1.4025
285	242.000	1654	1.37833
286	242.847	1700	1.41667
287	243.694	1683	1.4025
288	244.540	1637	1.36417
289	245.387	1645	1.37083
290	246.234	1722	1.435
291	247.081	1679	1.39917
292	247.927	1602	1.335
293	248.774	1740	1.45
294	249.621	1693	1.41083
295	250.468	1668	1.39
296	251.315	1576	1.31333
297	252.161	1674	1.395
298	253.008	1770	1.475
299	253.855	1650	1.375
300	254.702	1708	1.42333
301	255.548	1664	1.38667
302	256.395	1639	1.36583
303	257.242	1668	1.39
304	258.089	1590	1.325
305	258.935	1706	1.42167
306	259.782	1659	1.3825
307	260.629	1659	1.3825
308	261.476	1635	1.3625
309	262.323	1625	1.35417
310	263.169	1647	1.3725
311	264.016	1652	1.37667
312	264.863	1616	1.34667
313	265.710	1665	1.3875
314	266.556	1613	1.34417
315	267.403	1600	1.33333
316	268.250	1623	1.3525
317	269.097	1671	1.3925
318	269.944	1616	1.34667
319	270.790	1569	1.3075
320	271.637	1605	1.3375
321	272.484	1581	1.3175
322	273.331	1672	1.39333
323	274.177	1589	1.32417
324	275.024	1651	1.37583
325	275.871	1622	1.35167
326	276.718	1634	1.36167
327	277.565	1576	1.31333
328	278.411	1588	1.32333
329	279.258	1591	1.32583
330	280.105	1595	1.32917
331	280.952	1594	1.32833
332	281.798	1593	1.3275
333	282.645	1643	1.36917
334	283.492	1633	1.36083
335	284.339	1588	1.32333
336	285.185	1689	1.4075
337	286.032	1617	1.3475
338	286.879	1638	1.365
339	287.726	1640	1.36667
340	288.573	1583	1.31917
341	289.419	1636	1.36333
342	290.266	1599	1.3325
343	291.113	1567	1.30583
344	291.960	1662	1.385
345	292.806	1579	1.31583
346	293.653	1587	1.3225
347	294.500	1570	1.30833
348	295.347	1606	1.33833
349	296.194	1571	1.30917
350	297.040	1598	1.33167
351	297.887	1576	1.31333
352	298.734	1593	1.3275
353	299.581	1542	1.285
354	300.427	1596	1.33
355	301.274	1504	1.25333
356	302.121	1611	1.3425
357	302.968	1555	1.29583
358	303.815	1556	1.29667
359	304.661	1569	1.3075
360	305.508	1556	1.29667
361	306.355	1596	1.33
362	307.202	1599	1.3325
363	308.048	1595	1.32917
364	308.895	1585	1.32083
365	309.742	1585	1.32083
366	310.589	1613	1.34417
367	311.435	1543	1.28583
368	312.282	1632	1.36
369	313.129	1591	1.32583
370	313.976	1528	1.27333
371	314.823	1538	1.28167
372	315.669	1557	1.2975
373	316.516	1579	1.31583
374	317.363	1566	1.305
375	318.210	1570	1.30833
376	319.056	1559	1.29917
377	319.903	1594	1.32833
378	320.750	1535	1.27917
379	321.597	1627	1.35583
380	322.444	1598	1.33167
381	323.290	1620	1.35
382	324.137	1506	1.255
383	324.984	1636	1.36333
384	325.831	1527	1.2725
385	326.677	1604	1.33667
386	327.524	1502	1.25167
387	328.371	1535	1.27917
388	329.218	1629	1.3575
389	330.065	1568	1.30667
390	330.911	1617	1.3475
391	331.758	1604	1.33667
392	332.605	1532	1.27667
393	333.452	1563	1.3025
394	334.298	1619	1.34917
395	335.145	1590	1.325
396	335.992	1580	1.31667
397	336.839	1601	1.33417
398	337.685	1518	1.265
399	338.532	1535	1.27917
400	339.379	1484	1.23667
401	340.226	1564	1.30333
402	341.073	1587	1.3225
403	341.919	1588	1.32333
404	342.766	1517	1.26417
405	343.613	1489	1.24083
406	344.460	1638	1.365
407	345.306	1559	1.29917
408	346.153	1507	1.25583
409	347.000	1542	1.285
410	347.847	1581	1.3175
411	348.694	1545	1.2875
412	349.540	1501	1.25083
413	350.387	1543	1.28583
414	351.234	1528	1.27333
415	352.081	1575	1.3125
416	352.927	1463	1.21917
417	353.774	1521	1.2675
418	354.621	1505	1.25417
419	355.468	1549	1.29083
420	356.315	1590	1.325
421	357.161	1472	1.22667
422	358.008	1490	1.24167
423	358.855	1491	1.2425
424	359.702	1505	1.25417
425	360.548	1506	1.255
426	361.395	1477	1.23083
427	362.242	1465	1.22083
428	363.089	1472	1.22667
429	363.935	1471	1.22583
430	364.782	1567	1.30583
431	365.629	1471	1.22583
432	366.476	1418	1.18167
433	367.323	1412	1.17667
434	368.169	1425	1.1875
435	369.016	1500	1.25
436	369.863	1459	1.21583
437	370.710	1500	1.25
438	371.556	1379	1.14917
439	372.403	1366	1.13833
440	373.250	1452	1.21
441	374.097	1411	1.17583
442	374.944	1358	1.13167
443	375.790	1406	1.17167
444	376.637	1370	1.14167
445	377.484	1478	1.23167
446	378.331	1505	1.25417
447	379.177	1344	1.12
448	380.024	1422	1.185
449	380.871	1342	1.11833
450	381.718	1360	1.13333
451	382.565	1411	1.17583
452	383.411	1350	1.125
453	384.258	1350	1.125
454	385.105	1396	1.16333
455	385.952	1298	1.08167
456	386.798	1341	1.1175
457	387.645	1329	1.1075
458	388.492	1332	1.11
459	389.339	1208	1.00667
460	390.185	1320	1.1
461	391.032	1291	1.07583
462	391.879	1277	1.06417
463	392.726	1241	1.03417
464	393.573	1298	1.08167
465	394.419	1290	1.075
466	395.266	1226	1.02167
467	396.113	1191	0.9925
468	396.960	1216	1.01333
469	397.806	1180	0.983333
470	398.653	1225	1.02083
471	399.500	1252	1.04333
472	400.347	1127	0.939167
473	401.194	1225	1.02083
474	402.040	1158	0.965
475	402.887	1162	0.968333
476	403.734	1154	0.961667
477	404.581	1154	0.961667
478	405.427	1197	0.9975
479	406.274	1238	1.03167
480	407.121	1157	0.964167
481	407.968	1095	0.9125
482	408.815	1179	0.9825
483	409.661	1126	0.938333
484	410.508	1162	0.968333
485	411.355	1160	0.966667
486	412.202	1162	0.968333
487	413.048	1174	0.978333
488	413.895	1154	0.961667
489	414.742	1200	1
490	415.589	1094	0.911667
491	416.435	1104	0.92
492	417.282	1116	0.93
493	418.129	1054	0.878333
494	418.976	1120	0.933333
495	419.823	1135	0.945833
496	420.669	1125	0.9375
497	421.516	1150	0.958333
498	422.363	1101	0.9175
499	423.210	1124	0.936667
500	424.056	1142	0.951667
501	424.903	1152	0.96
502	425.750	1096	0.913333
503	426.597	1111	0.925833
504	427.444	1131	0.9425
505	428.290	1146	0.955
506	429.137	1092	0.91
507	429.984	1138	0.948333
508	430.831	1115	0.929167
509	431.677	1134	0.945
510	432.524	1100	0.916667
511	433.371	1089	0.9075
512	434.218	1144	0.953333
513	435.065	1130	0.941667
514	435.911	1117	0.930833
515	436.758	1126	0.938333
516	437.605	1069	0.890833
517	438.452	1168	0.973333
518	439.298	1120	0.933333
519	440.145	1183	0.985833
520	440.992	1047	0.8725
521	441.839	1159	0.965833
522	442.685	1171	0.975833
523	443.532	1150	0.958333
524	444.379	1149	0.9575
525	445.226	1210	1.00833
526	446.073	1178	0.981667
527	446.919	1216	1.01333
528	447.766	1217	1.01417
529	448.613	1237	1.03083
530	449.460	1271	1.05917
531	450.306	1207	1.00583
532	451.153	1179	0.9825
533	452.000	1240	1.03333
534	452.847	1232	1.02667
535	453.694	1258	1.04833
536	454.540	1227	1.0225
537	455.387	1246	1.03833
538	456.234	1308	1.09
539	457.081	1301	1.08417
540	457.927	1299	1.0825
541	458.774	1288	1.07333
542	459.621	1328	1.10667
543	460.468	1351	1.12583
544	461.315	1363	1.13583
545	462.161	1327	1.10583
546	463.008	1334	1.11167
547	463.855	1352	1.12667
548	464.702	1334	1.11167
549	465.548	1378	1.14833
550	466.395	1308	1.09
551	467.242	1317	1.0975
552	468.089	1325	1.10417
553	468.935	1423	1.18583
554	469.782	1367	1.13917
555	470.629	1390	1.15833
556	471.476	1415	1.17917
557	472.323	1388	1.15667
558	473.169	1334	1.11167
559	474.016	1420	1.18333
560	474.863	1472	1.22667
561	475.710	1370	1.14167
562	476.556	1397	1.16417
563	477.403	1419	1.1825
564	478.250	1511	1.25917
565	479.097	1426	1.18833
566	479.944	1383	1.1525
567	480.790	1418	1.18167
568	481.637	1407	1.1725
569	482.484	1364	1.13667
570	483.331	1410	1.175
571	484.177	1411	1.17583
572	485.024	1481	1.23417
573	485.871	1412	1.17667
574	486.718	1480	1.23333
575	487.565	1403	1.16917
576	488.411	1473	1.2275
577	489.258	1445	1.20417
578	490.105	1379	1.14917
579	490.952	1428	1.19
580	491.798	1412	1.17667
581	492.645	1406	1.17167
582	493.492	1422	1.185
583	494.339	1429	1.19083
584	495.185	1405	1.17083
585	496.032	1335	1.1125
586	496.879	1364	1.13667
587	497.726	1386	1.155
588	498.573	1396	1.16333
589	499.419	1337	1.11417
590	500.266	1447	1.20583
591	501.113	1434	1.195
592	501.960	1362	1.135
593	502.806	1350	1.125
594	503.653	1364	1.13667
595	504.500	1350	1.125
596	505.347	1322	1.10167
597	506.194	1263	1.0525
598	507.040	1320	1.1
599	507.887	1306	1.08833
600	508.734	1308	1.09
601	509.581	1286	1.07167
602	510.427	1294	1.07833
603	511.274	1249	1.04083
604	512.121	1184	0.986667
605	512.968	1214	1.01167
606	513.815	1259	1.04917
607	514.661	1232	1.02667
608	515.508	1241	1.03417
609	516.355	1206	1.005
610	517.202	1191	0.9925
611	518.048	1191	0.9925
612	518.895	1153	0.960833
613	519.742	1165	0.970833
614	520.589	1169	0.974167
615	521.436	1118	0.931667
616	522.282	1109	0.924167
617	523.129	1139	0.949167
618	523.976	1113	0.9275
619	524.823	1224	1.02
620	525.669	1126	0.938333
621	526.516	1102	0.918333
622	527.363	1086	0.905
623	528.210	1060	0.883333
624	529.056	1085	0.904167
625	529.903	1087	0.905833
626	530.750	1061	0.884167
627	531.597	1095	0.9125
628	532.444	1043	0.869167
629	533.290	1000	0.833333
630	534.137	998	0.831667
631	534.984	1019	0.849167
632	535.831	1055	0.879167
633	536.677	960	0.8
634	537.524	949	0.790833
635	538.371	1053	0.8775
636	539.218	1040	0.866667
637	540.065	950	0.791667
638	540.911	981	0.8175
639	541.758	982	0.818333
640	542.605	961	0.800833
641	543.452	977	0.814167
642	544.298	929	0.774167
643	545.145	912	0.76
644	545.992	895	0.745833
645	546.839	889	0.740833
646	547.686	920	0.766667
647	548.532	897	0.7475
648	549.379	961	0.800833
649	550.226	898	0.748333
650	551.073	881	0.734167
651	551.919	953	0.794167
652	552.766	914	0.761667
653	553.613	900	0.75
654	554.460	919	0.765833
