#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 09:41:36
# Real time (s): 1222.790
# Live time (s): 1200.000
#
# Total counts:  2164782
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  5550
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
214	181.879	3557	2.96417
215	182.726	3633	3.0275
216	183.573	3558	2.965
217	184.419	3464	2.88667
218	185.266	3537	2.9475
219	186.113	3606	3.005
220	186.960	3511	2.92583
221	187.806	3459	2.8825
222	188.653	3503	2.91917
223	189.500	3479	2.89917
224	190.347	3591	2.9925
225	191.194	3558	2.965
226	192.040	3504	2.92
227	192.887	3448	2.87333
228	193.734	3527	2.93917
229	194.581	3453	2.8775
230	195.427	3476	2.89667
231	196.274	3331	2.77583
232	197.121	3491	2.90917
233	197.968	3429	2.8575
234	198.815	3416	2.84667
235	199.661	3515	2.92917
236	200.508	3454	2.87833
237	201.355	3426	2.855
238	202.202	3405	2.8375
239	203.048	3371	2.80917
240	203.895	3451	2.87583
241	204.742	3418	2.84833
242	205.589	3258	2.715
243	206.435	3356	2.79667
244	207.282	3451	2.87583
245	208.129	3272	2.72667
246	208.976	3316	2.76333
247	209.823	3268	2.72333
248	210.669	3304	2.75333
249	211.516	3398	2.83167
250	212.363	3309	2.7575
251	213.210	3317	2.76417
252	214.056	3309	2.7575
253	214.903	3404	2.83667
254	215.750	3270	2.725
255	216.597	3338	2.78167
256	217.444	3270	2.725
257	218.290	3320	2.76667
258	219.137	3327	2.7725
259	219.984	3203	2.66917
260	220.831	3277	2.73083
261	221.677	3211	2.67583
262	222.524	3241	2.70083
263	223.371	3306	2.755
264	224.218	3237	2.6975
265	225.065	3289	2.74083
266	225.911	3135	2.6125
267	226.758	3280	2.73333
268	227.605	3248	2.70667
269	228.452	3189	2.6575
270	229.298	3221	2.68417
271	230.145	3282	2.735
272	230.992	3153	2.6275
273	231.839	3263	2.71917
274	232.685	3203	2.66917
275	233.532	3179	2.64917
276	234.379	3188	2.65667
277	235.226	3214	2.67833
278	236.073	3206	2.67167
279	236.919	3174	2.645
280	237.766	3225	2.6875
281	238.613	3119	2.59917
282	239.460	3186	2.655
283	240.306	3153	2.6275
284	241.153	3220	2.68333
285	242.000	3280	2.73333
286	242.847	3116	2.59667
287	243.694	3291	2.7425
288	244.540	3143	2.61917
289	245.387	3083	2.56917
290	246.234	3143	2.61917
291	247.081	3130	2.60833
292	247.927	3291	2.7425
293	248.774	3214	2.67833
294	249.621	3135	2.6125
295	250.468	3102	2.585
296	251.315	3167	2.63917
297	252.161	3223	2.68583
298	253.008	3287	2.73917
299	253.855	3237	2.6975
300	254.702	3226	2.68833
301	255.548	3088	2.57333
302	256.395	3141	2.6175
303	257.242	3217	2.68083
304	258.089	3142	2.61833
305	258.935	3203	2.66917
306	259.782	3158	2.63167
307	260.629	3140	2.61667
308	261.476	3128	2.60667
309	262.323	3215	2.67917
310	263.169	3105	2.5875
311	264.016	3181	2.65083
312	264.863	3127	2.60583
313	265.710	3244	2.70333
314	266.556	3184	2.65333
315	267.403	3183	2.6525
316	268.250	3206	2.67167
317	269.097	3164	2.63667
318	269.944	3161	2.63417
319	270.790	3175	2.64583
320	271.637	3224	2.68667
321	272.484	3148	2.62333
322	273.331	3121	2.60083
323	274.177	3164	2.63667
324	275.024	3103	2.58583
325	275.871	3193	2.66083
326	276.718	3244	2.70333
327	277.565	3223	2.68583
328	278.411	3204	2.67
329	279.258	3182	2.65167
330	280.105	3141	2.6175
331	280.952	3191	2.65917
332	281.798	3210	2.675
333	282.645	3066	2.555
334	283.492	3226	2.68833
335	284.339	3109	2.59083
336	285.185	3274	2.72833
337	286.032	3186	2.655
338	286.879	3137	2.61417
339	287.726	3153	2.6275
340	288.573	3192	2.66
341	289.419	3191	2.65917
342	290.266	3172	2.64333
343	291.113	3192	2.66
344	291.960	3156	2.63
345	292.806	3262	2.71833
346	293.653	3153	2.6275
347	294.500	3161	2.63417
348	295.347	3090	2.575
349	296.194	3188	2.65667
350	297.040	3217	2.68083
351	297.887	3140	2.61667
352	298.734	3142	2.61833
353	299.581	3006	2.505
354	300.427	3105	2.5875
355	301.274	3137	2.61417
356	302.121	3190	2.65833
357	302.968	3207	2.6725
358	303.815	3281	2.73417
359	304.661	3302	2.75167
360	305.508	3134	2.61167
361	306.355	3205	2.67083
362	307.202	3118	2.59833
363	308.048	3186	2.655
364	308.895	3230	2.69167
365	309.742	3179	2.64917
366	310.589	3196	2.66333
367	311.435	3213	2.6775
368	312.282	3147	2.6225
369	313.129	3179	2.64917
370	313.976	3179	2.64917
371	314.823	3134	2.61167
372	315.669	3224	2.68667
373	316.516	3173	2.64417
374	317.363	3202	2.66833
375	318.210	3061	2.55083
376	319.056	3228	2.69
377	319.903	3229	2.69083
378	320.750	3154	2.62833
379	321.597	3246	2.705
380	322.444	3095	2.57917
381	323.290	3084	2.57
382	324.137	3117	2.5975
383	324.984	3102	2.585
384	325.831	3094	2.57833
385	326.677	3160	2.63333
386	327.524	3103	2.58583
387	328.371	3133	2.61083
388	329.218	3120	2.6
389	330.065	3132	2.61
390	330.911	3023	2.51917
391	331.758	2993	2.49417
392	332.605	3085	2.57083
393	333.452	3057	2.5475
394	334.298	2959	2.46583
395	335.145	3053	2.54417
396	335.992	3033	2.5275
397	336.839	3092	2.57667
398	337.685	2866	2.38833
399	338.532	2941	2.45083
400	339.379	2945	2.45417
401	340.226	2900	2.41667
402	341.073	2889	2.4075
403	341.919	2912	2.42667
404	342.766	2865	2.3875
405	343.613	2873	2.39417
406	344.460	2805	2.3375
407	345.306	2801	2.33417
408	346.153	2823	2.3525
409	347.000	2723	2.26917
410	347.847	2807	2.33917
411	348.694	2737	2.28083
412	349.540	2631	2.1925
413	350.387	2644	2.20333
414	351.234	2691	2.2425
415	352.081	2622	2.185
416	352.927	2714	2.26167
417	353.774	2637	2.1975
418	354.621	2512	2.09333
419	355.468	2484	2.07
420	356.315	2475	2.0625
421	357.161	2408	2.00667
422	358.008	2477	2.06417
423	358.855	2492	2.07667
424	359.702	2450	2.04167
425	360.548	2443	2.03583
426	361.395	2398	1.99833
427	362.242	2289	1.9075
428	363.089	2292	1.91
429	363.935	2355	1.9625
430	364.782	2279	1.89917
431	365.629	2280	1.9
432	366.476	2268	1.89
433	367.323	2293	1.91083
434	368.169	2258	1.88167
435	369.016	2214	1.845
436	369.863	2177	1.81417
437	370.710	2183	1.81917
438	371.556	2081	1.73417
439	372.403	2123	1.76917
440	373.250	2166	1.805
441	374.097	2024	1.68667
442	374.944	2060	1.71667
443	375.790	1992	1.66
444	376.637	2053	1.71083
445	377.484	1928	1.60667
446	378.331	2010	1.675
447	379.177	1942	1.61833
448	380.024	2005	1.67083
449	380.871	1961	1.63417
450	381.718	1912	1.59333
451	382.565	1950	1.625
452	383.411	1880	1.56667
453	384.258	1925	1.60417
454	385.105	1876	1.56333
455	385.952	1910	1.59167
456	386.798	1932	1.61
457	387.645	1814	1.51167
458	388.492	1866	1.555
459	389.339	1887	1.5725
460	390.185	1858	1.54833
461	391.032	1835	1.52917
462	391.879	1814	1.51167
463	392.726	1797	1.4975
464	393.573	1871	1.55917
465	394.419	1886	1.57167
466	395.266	1799	1.49917
467	396.113	1786	1.48833
468	396.960	1828	1.52333
469	397.806	1810	1.50833
470	398.653	1810	1.50833
471	399.500	1772	1.47667
472	400.347	1781	1.48417
473	401.194	1882	1.56833
474	402.040	1784	1.48667
475	402.887	1907	1.58917
476	403.734	1751	1.45917
477	404.581	1912	1.59333
478	405.427	1871	1.55917
479	406.274	1822	1.51833
480	407.121	1953	1.6275
481	407.968	1949	1.62417
482	408.815	1976	1.64667
483	409.661	1980	1.65
484	410.508	1898	1.58167
485	411.355	1916	1.59667
486	412.202	1900	1.58333
487	413.048	2006	1.67167
488	413.895	2092	1.74333
489	414.742	2078	1.73167
490	415.589	2070	1.725
491	416.435	2143	1.78583
492	417.282	2191	1.82583
493	418.129	2123	1.76917
494	418.976	2154	1.795
495	419.823	2215	1.84583
496	420.669	2280	1.9
497	421.516	2227	1.85583
498	422.363	2338	1.94833
499	423.210	2298	1.915
500	424.056	2344	1.95333
501	424.903	2412	2.01
502	425.750	2363	1.96917
503	426.597	2453	2.04417
504	427.444	2521	2.10083
505	428.290	2520	2.1
506	429.137	2552	2.12667
507	429.984	2542	2.11833
508	430.831	2683	2.23583
509	431.677	2687	2.23917
510	432.524	2680	2.23333
511	433.371	2663	2.21917
512	434.218	2752	2.29333
513	435.065	2798	2.33167
514	435.911	2802	2.335
515	436.758	2708	2.25667
516	437.605	2875	2.39583
517	438.452	2695	2.24583
518	439.298	2941	2.45083
519	440.145	2908	2.42333
520	440.992	2932	2.44333
521	441.839	2986	2.48833
522	442.685	3061	2.55083
523	443.532	3099	2.5825
524	444.379	2954	2.46167
525	445.226	3040	2.53333
526	446.073	2990	2.49167
527	446.919	3049	2.54083
528	447.766	3105	2.5875
529	448.613	3018	2.515
530	449.460	3167	2.63917
531	450.306	3120	2.6
532	451.153	3193	2.66083
533	452.000	3205	2.67083
534	452.847	3268	2.72333
535	453.694	3140	2.61667
536	454.540	3153	2.6275
537	455.387	3205	2.67083
538	456.234	3112	2.59333
539	457.081	3163	2.63583
540	457.927	3137	2.61417
541	458.774	3124	2.60333
542	459.621	3145	2.62083
543	460.468	3130	2.60833
544	461.315	3127	2.60583
545	462.161	3087	2.5725
546	463.008	3049	2.54083
547	463.855	3170	2.64167
548	464.702	3113	2.59417
549	465.548	3229	2.69083
550	466.395	3121	2.60083
551	467.242	3132	2.61
552	468.089	3037	2.53083
553	468.935	2993	2.49417
554	469.782	2923	2.43583
555	470.629	2988	2.49
556	471.476	2932	2.44333
557	472.323	3055	2.54583
558	473.169	2872	2.39333
559	474.016	2776	2.31333
560	474.863	2927	2.43917
561	475.710	2844	2.37
562	476.556	2745	2.2875
563	477.403	2765	2.30417
564	478.250	2690	2.24167
565	479.097	2743	2.28583
566	479.944	2671	2.22583
567	480.790	2680	2.23333
568	481.637	2644	2.20333
569	482.484	2557	2.13083
570	483.331	2658	2.215
571	484.177	2518	2.09833
572	485.024	2512	2.09333
573	485.871	2486	2.07167
574	486.718	2489	2.07417
575	487.565	2418	2.015
576	488.411	2332	1.94333
577	489.258	2290	1.90833
578	490.105	2447	2.03917
579	490.952	2364	1.97
580	491.798	2230	1.85833
581	492.645	2226	1.855
582	493.492	2108	1.75667
583	494.339	2121	1.7675
584	495.185	2164	1.80333
585	496.032	2275	1.89583
586	496.879	2137	1.78083
587	497.726	2071	1.72583
588	498.573	1984	1.65333
589	499.419	2124	1.77
590	500.266	1955	1.62917
591	501.113	1943	1.61917
592	501.960	1971	1.6425
593	502.806	1945	1.62083
594	503.653	1970	1.64167
595	504.500	1910	1.59167
596	505.347	1854	1.545
597	506.194	1836	1.53
598	507.040	1876	1.56333
599	507.887	1777	1.48083
600	508.734	1790	1.49167
601	509.581	1781	1.48417
602	510.427	1741	1.45083
603	511.274	1769	1.47417
604	512.121	1730	1.44167
605	512.968	1723	1.43583
606	513.815	1637	1.36417
607	514.661	1652	1.37667
608	515.508	1612	1.34333
609	516.355	1605	1.3375
610	517.202	1652	1.37667
611	518.048	1533	1.2775
612	518.895	1548	1.29
613	519.742	1575	1.3125
614	520.589	1574	1.31167
615	521.436	1561	1.30083
616	522.282	1497	1.2475
617	523.129	1485	1.2375
618	523.976	1447	1.20583
619	524.823	1401	1.1675
620	525.669	1463	1.21917
621	526.516	1397	1.16417
622	527.363	1353	1.1275
623	528.210	1376	1.14667
624	529.056	1403	1.16917
625	529.903	1381	1.15083
626	530.750	1311	1.0925
627	531.597	1340	1.11667
628	532.444	1331	1.10917
629	533.290	1299	1.0825
630	534.137	1251	1.0425
631	534.984	1267	1.05583
632	535.831	1333	1.11083
633	536.677	1208	1.00667
634	537.524	1247	1.03917
635	538.371	1200	1
636	539.218	1247	1.03917
637	540.065	1193	0.994167
638	540.911	1227	1.0225
639	541.758	1114	0.928333
640	542.605	1166	0.971667
641	543.452	1175	0.979167
642	544.298	1085	0.904167
643	545.145	1102	0.918333
644	545.992	1088	0.906667
645	546.839	1098	0.915
646	547.686	1090	0.908333
647	548.532	1045	0.870833
648	549.379	1051	0.875833
649	550.226	1089	0.9075
650	551.073	1018	0.848333
651	551.919	993	0.8275
652	552.766	977	0.814167
653	553.613	966	0.805
654	554.460	986	0.821667
655	555.306	962	0.801667
656	556.153	923	0.769167
657	557.000	897	0.7475
658	557.847	917	0.764167
659	558.694	923	0.769167
660	559.540	973	0.810833
661	560.387	902	0.751667
662	561.234	931	0.775833
663	562.081	906	0.755
664	562.927	898	0.748333
665	563.774	818	0.681667
666	564.621	829	0.690833
667	565.468	819	0.6825
668	566.315	822	0.685
669	567.161	791	0.659167
670	568.008	791	0.659167
671	568.855	786	0.655
672	569.702	764	0.636667
673	570.548	775	0.645833
674	571.395	737	0.614167
675	572.242	761	0.634167
676	573.089	739	0.615833
677	573.936	711	0.5925
678	574.782	717	0.5975
679	575.629	744	0.62
680	576.476	767	0.639167
681	577.323	657	0.5475
682	578.169	703	0.585833
683	579.016	695	0.579167
684	579.863	667	0.555833
685	580.710	691	0.575833
686	581.556	684	0.57
687	582.403	676	0.563333
688	583.250	683	0.569167
689	584.097	659	0.549167
690	584.944	655	0.545833
691	585.790	602	0.501667
692	586.637	601	0.500833
693	587.484	646	0.538333
694	588.331	627	0.5225
695	589.177	648	0.54
696	590.024	649	0.540833
697	590.871	596	0.496667
698	591.718	556	0.463333
699	592.565	563	0.469167
700	593.411	590	0.491667
701	594.258	529	0.440833
702	595.105	529	0.440833
703	595.952	586	0.488333
704	596.798	598	0.498333
705	597.645	526	0.438333
706	598.492	526	0.438333
707	599.339	535	0.445833
708	600.186	552	0.46
709	601.032	548	0.456667
710	601.879	543	0.4525
711	602.726	555	0.4625
712	603.573	545	0.454167
713	604.419	528	0.44
714	605.266	490	0.408333
715	606.113	519	0.4325
716	606.960	528	0.44
717	607.806	534	0.445
718	608.653	516	0.43
719	609.500	534	0.445
720	610.347	520	0.433333
721	611.194	525	0.4375
722	612.040	506	0.421667
723	612.887	506	0.421667
724	613.734	476	0.396667
725	614.581	513	0.4275
