#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 08:53:50
# Real time (s): 1245.480
# Live time (s): 1200.000
#
# Total counts:  17444507
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  15538
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
212	180.185	30134	25.1117
213	181.032	29523	24.6025
214	181.879	29205	24.3375
215	182.726	29219	24.3492
216	183.573	29099	24.2492
217	184.419	28714	23.9283
218	185.266	28565	23.8042
219	186.113	27914	23.2617
220	186.960	27587	22.9892
221	187.806	27266	22.7217
222	188.653	27130	22.6083
223	189.500	26913	22.4275
224	190.347	26785	22.3208
225	191.194	26634	22.195
226	192.040	25805	21.5042
227	192.887	25538	21.2817
228	193.734	25295	21.0792
229	194.581	25331	21.1092
230	195.427	24635	20.5292
231	196.274	24488	20.4067
232	197.121	23930	19.9417
233	197.968	23973	19.9775
234	198.815	23452	19.5433
235	199.661	23085	19.2375
236	200.508	22839	19.0325
237	201.355	22637	18.8642
238	202.202	22224	18.52
239	203.048	22265	18.5542
240	203.895	22014	18.345
241	204.742	21930	18.275
242	205.589	21283	17.7358
243	206.435	21102	17.585
244	207.282	21120	17.6
245	208.129	20820	17.35
246	208.976	20717	17.2642
247	209.823	20263	16.8858
248	210.669	20211	16.8425
249	211.516	20122	16.7683
250	212.363	20087	16.7392
251	213.210	19679	16.3992
252	214.056	19755	16.4625
253	214.903	19788	16.49
254	215.750	19477	16.2308
255	216.597	19495	16.2458
256	217.444	19471	16.2258
257	218.290	19328	16.1067
258	219.137	19519	16.2658
259	219.984	19009	15.8408
260	220.831	19173	15.9775
261	221.677	19141	15.9508
262	222.524	19409	16.1742
263	223.371	18924	15.77
264	224.218	19398	16.165
265	225.065	19526	16.2717
266	225.911	19255	16.0458
267	226.758	19570	16.3083
268	227.605	19464	16.22
269	228.452	19648	16.3733
270	229.298	20084	16.7367
271	230.145	20074	16.7283
272	230.992	20092	16.7433
273	231.839	20504	17.0867
274	232.685	20650	17.2083
275	233.532	20936	17.4467
276	234.379	21224	17.6867
277	235.226	21579	17.9825
278	236.073	21629	18.0242
279	236.919	22114	18.4283
280	237.766	22359	18.6325
281	238.613	22727	18.9392
282	239.460	23268	19.39
283	240.306	23721	19.7675
284	241.153	24055	20.0458
285	242.000	24665	20.5542
286	242.847	25009	20.8408
287	243.694	25547	21.2892
288	244.540	25622	21.3517
289	245.387	26530	22.1083
290	246.234	26896	22.4133
291	247.081	27813	23.1775
292	247.927	28012	23.3433
293	248.774	28927	24.1058
294	249.621	29638	24.6983
295	250.468	30282	25.235
296	251.315	30849	25.7075
297	252.161	31501	26.2508
298	253.008	32303	26.9192
299	253.855	32709	27.2575
300	254.702	33516	27.93
301	255.548	34349	28.6242
302	256.395	34926	29.105
303	257.242	35633	29.6942
304	258.089	36761	30.6342
305	258.935	37398	31.165
306	259.782	37907	31.5892
307	260.629	39050	32.5417
308	261.476	39859	33.2158
309	262.323	40360	33.6333
310	263.169	41476	34.5633
311	264.016	41795	34.8292
312	264.863	42158	35.1317
313	265.710	43041	35.8675
314	266.556	43687	36.4058
315	267.403	44407	37.0058
316	268.250	44815	37.3458
317	269.097	45548	37.9567
318	269.944	46638	38.865
319	270.790	46716	38.93
320	271.637	47313	39.4275
321	272.484	47187	39.3225
322	273.331	47903	39.9192
323	274.177	48492	40.41
324	275.024	48386	40.3217
325	275.871	48618	40.515
326	276.718	49396	41.1633
327	277.565	49244	41.0367
328	278.411	49899	41.5825
329	279.258	49968	41.64
330	280.105	50380	41.9833
331	280.952	50144	41.7867
332	281.798	50156	41.7967
333	282.645	49743	41.4525
334	283.492	49932	41.61
335	284.339	49896	41.58
336	285.185	49553	41.2942
337	286.032	49271	41.0592
338	286.879	48711	40.5925
339	287.726	48469	40.3908
340	288.573	48556	40.4633
341	289.419	47929	39.9408
342	290.266	47951	39.9592
343	291.113	46937	39.1142
344	291.960	46798	38.9983
345	292.806	46609	38.8408
346	293.653	46099	38.4158
347	294.500	45645	38.0375
348	295.347	44876	37.3967
349	296.194	44061	36.7175
350	297.040	43804	36.5033
351	297.887	43431	36.1925
352	298.734	42784	35.6533
353	299.581	41684	34.7367
354	300.427	41360	34.4667
355	301.274	40672	33.8933
356	302.121	40303	33.5858
357	302.968	39709	33.0908
358	303.815	38605	32.1708
359	304.661	38023	31.6858
360	305.508	37687	31.4058
361	306.355	36724	30.6033
362	307.202	36327	30.2725
363	308.048	36081	30.0675
364	308.895	35369	29.4742
365	309.742	34184	28.4867
366	310.589	34061	28.3842
367	311.435	33022	27.5183
368	312.282	32431	27.0258
369	313.129	32059	26.7158
370	313.976	31369	26.1408
371	314.823	30816	25.68
372	315.669	30390	25.325
373	316.516	29643	24.7025
374	317.363	29527	24.6058
375	318.210	28911	24.0925
376	319.056	28136	23.4467
377	319.903	27736	23.1133
378	320.750	27110	22.5917
379	321.597	26714	22.2617
380	322.444	26274	21.895
381	323.290	25531	21.2758
382	324.137	25227	21.0225
383	324.984	24804	20.67
384	325.831	24498	20.415
385	326.677	23856	19.88
386	327.524	23819	19.8492
387	328.371	23182	19.3183
388	329.218	22693	18.9108
389	330.065	22420	18.6833
390	330.911	21873	18.2275
391	331.758	21565	17.9708
392	332.605	21352	17.7933
393	333.452	20734	17.2783
394	334.298	20518	17.0983
395	335.145	20123	16.7692
396	335.992	20044	16.7033
397	336.839	19728	16.44
398	337.685	19239	16.0325
399	338.532	19169	15.9742
400	339.379	18671	15.5592
401	340.226	18184	15.1533
402	341.073	18037	15.0308
403	341.919	17748	14.79
404	342.766	17347	14.4558
405	343.613	17280	14.4
406	344.460	16682	13.9017
407	345.306	16550	13.7917
408	346.153	16476	13.73
409	347.000	16268	13.5567
410	347.847	15917	13.2642
411	348.694	15663	13.0525
412	349.540	15409	12.8408
413	350.387	15229	12.6908
414	351.234	14838	12.365
415	352.081	14505	12.0875
416	352.927	14292	11.91
417	353.774	14351	11.9592
418	354.621	14183	11.8192
