#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 15:14:19
# Real time (s): 1907.730
# Live time (s): 1800.000
#
# Total counts:  24657198
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  5274
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
211	179.339	29066	16.1478
212	180.185	28750	15.9722
213	181.032	28059	15.5883
214	181.879	27922	15.5122
215	182.726	27552	15.3067
216	183.573	26968	14.9822
217	184.419	26739	14.855
218	185.266	26524	14.7356
219	186.113	26273	14.5961
220	186.960	26001	14.445
221	187.806	25540	14.1889
222	188.653	25704	14.28
223	189.500	25394	14.1078
224	190.347	24959	13.8661
225	191.194	25140	13.9667
226	192.040	25147	13.9706
227	192.887	24618	13.6767
228	193.734	24218	13.4544
229	194.581	24526	13.6256
230	195.427	24202	13.4456
231	196.274	23965	13.3139
232	197.121	23859	13.255
233	197.968	23836	13.2422
234	198.815	23846	13.2478
235	199.661	23753	13.1961
236	200.508	23302	12.9456
237	201.355	23379	12.9883
238	202.202	23439	13.0217
239	203.048	23231	12.9061
240	203.895	23246	12.9144
241	204.742	23353	12.9739
242	205.589	23037	12.7983
243	206.435	23250	12.9167
244	207.282	22918	12.7322
245	208.129	22899	12.7217
246	208.976	22849	12.6939
247	209.823	22566	12.5367
248	210.669	22410	12.45
249	211.516	22265	12.3694
250	212.363	22405	12.4472
251	213.210	22447	12.4706
252	214.056	22265	12.3694
253	214.903	22247	12.3594
254	215.750	21974	12.2078
255	216.597	21888	12.16
256	217.444	22095	12.275
257	218.290	22146	12.3033
258	219.137	21910	12.1722
259	219.984	21937	12.1872
260	220.831	21843	12.135
261	221.677	21963	12.2017
262	222.524	22352	12.4178
263	223.371	21558	11.9767
264	224.218	21697	12.0539
265	225.065	21775	12.0972
266	225.911	21575	11.9861
267	226.758	21491	11.9394
268	227.605	21493	11.9406
269	228.452	21685	12.0472
270	229.298	21246	11.8033
271	230.145	21556	11.9756
272	230.992	21132	11.74
273	231.839	21558	11.9767
274	232.685	21545	11.9694
275	233.532	21029	11.6828
276	234.379	21292	11.8289
277	235.226	21488	11.9378
278	236.073	21032	11.6844
279	236.919	20878	11.5989
280	237.766	20857	11.5872
281	238.613	20813	11.5628
282	239.460	21015	11.675
283	240.306	21185	11.7694
284	241.153	20889	11.605
285	242.000	21253	11.8072
286	242.847	21107	11.7261
287	243.694	20935	11.6306
288	244.540	20923	11.6239
289	245.387	20680	11.4889
290	246.234	20891	11.6061
291	247.081	20594	11.4411
292	247.927	20981	11.6561
293	248.774	20848	11.5822
294	249.621	20806	11.5589
295	250.468	20606	11.4478
296	251.315	20565	11.425
297	252.161	20615	11.4528
298	253.008	20815	11.5639
299	253.855	20493	11.385
300	254.702	20652	11.4733
301	255.548	20461	11.3672
302	256.395	20186	11.2144
303	257.242	20204	11.2244
304	258.089	20464	11.3689
305	258.935	20232	11.24
306	259.782	20212	11.2289
307	260.629	20232	11.24
308	261.476	20112	11.1733
309	262.323	19986	11.1033
310	263.169	20070	11.15
311	264.016	19531	10.8506
312	264.863	19729	10.9606
313	265.710	19601	10.8894
314	266.556	19401	10.7783
315	267.403	19662	10.9233
316	268.250	19209	10.6717
317	269.097	19140	10.6333
318	269.944	18971	10.5394
319	270.790	19169	10.6494
320	271.637	18640	10.3556
321	272.484	18840	10.4667
322	273.331	18732	10.4067
323	274.177	18497	10.2761
324	275.024	18291	10.1617
325	275.871	17919	9.955
326	276.718	18062	10.0344
327	277.565	17915	9.95278
328	278.411	17882	9.93444
329	279.258	17494	9.71889
330	280.105	17562	9.75667
331	280.952	17327	9.62611
332	281.798	17560	9.75556
333	282.645	17203	9.55722
334	283.492	17041	9.46722
335	284.339	17187	9.54833
336	285.185	16504	9.16889
337	286.032	16624	9.23556
338	286.879	16491	9.16167
339	287.726	16080	8.93333
340	288.573	16483	9.15722
341	289.419	16194	8.99667
342	290.266	16245	9.025
343	291.113	16059	8.92167
344	291.960	16119	8.955
345	292.806	16013	8.89611
346	293.653	15755	8.75278
347	294.500	15624	8.68
348	295.347	15707	8.72611
349	296.194	15679	8.71056
350	297.040	15574	8.65222
351	297.887	15537	8.63167
352	298.734	15603	8.66833
353	299.581	15728	8.73778
354	300.427	15756	8.75333
355	301.274	15745	8.74722
356	302.121	15798	8.77667
357	302.968	15652	8.69556
358	303.815	15563	8.64611
359	304.661	15954	8.86333
360	305.508	15669	8.705
361	306.355	16097	8.94278
362	307.202	15661	8.70056
363	308.048	15829	8.79389
364	308.895	15931	8.85056
365	309.742	15674	8.70778
366	310.589	16187	8.99278
367	311.435	16413	9.11833
368	312.282	16185	8.99167
