#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 14:03:02
# Real time (s): 1807.320
# Live time (s): 1800.000
#
# Total counts:  180146
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  126
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
227	192.887	518	0.287778
228	193.734	509	0.282778
229	194.581	427	0.237222
230	195.427	488	0.271111
231	196.274	509	0.282778
232	197.121	492	0.273333
233	197.968	477	0.265
234	198.815	481	0.267222
235	199.661	487	0.270556
236	200.508	465	0.258333
237	201.355	455	0.252778
238	202.202	481	0.267222
239	203.048	442	0.245556
240	203.895	499	0.277222
241	204.742	424	0.235556
242	205.589	431	0.239444
243	206.435	436	0.242222
244	207.282	449	0.249444
245	208.129	459	0.255
246	208.976	437	0.242778
247	209.823	454	0.252222
248	210.669	423	0.235
249	211.516	463	0.257222
250	212.363	449	0.249444
251	213.210	462	0.256667
252	214.056	418	0.232222
253	214.903	432	0.24
254	215.750	399	0.221667
255	216.597	413	0.229444
256	217.444	419	0.232778
257	218.290	448	0.248889
258	219.137	416	0.231111
259	219.984	408	0.226667
260	220.831	391	0.217222
261	221.677	417	0.231667
262	222.524	397	0.220556
263	223.371	412	0.228889
264	224.218	393	0.218333
265	225.065	380	0.211111
266	225.911	407	0.226111
267	226.758	372	0.206667
268	227.605	348	0.193333
269	228.452	364	0.202222
270	229.298	370	0.205556
271	230.145	384	0.213333
272	230.992	344	0.191111
273	231.839	367	0.203889
274	232.685	398	0.221111
275	233.532	357	0.198333
276	234.379	366	0.203333
277	235.226	330	0.183333
278	236.073	330	0.183333
279	236.919	319	0.177222
280	237.766	330	0.183333
281	238.613	374	0.207778
282	239.460	321	0.178333
283	240.306	301	0.167222
284	241.153	350	0.194444
285	242.000	333	0.185
286	242.847	353	0.196111
287	243.694	317	0.176111
288	244.540	304	0.168889
289	245.387	318	0.176667
290	246.234	329	0.182778
291	247.081	320	0.177778
292	247.927	337	0.187222
293	248.774	299	0.166111
294	249.621	299	0.166111
295	250.468	298	0.165556
296	251.315	263	0.146111
297	252.161	306	0.17
298	253.008	283	0.157222
299	253.855	269	0.149444
300	254.702	283	0.157222
301	255.548	279	0.155
302	256.395	259	0.143889
303	257.242	276	0.153333
304	258.089	263	0.146111
305	258.935	270	0.15
306	259.782	297	0.165
307	260.629	293	0.162778
308	261.476	284	0.157778
309	262.323	289	0.160556
310	263.169	266	0.147778
311	264.016	258	0.143333
312	264.863	270	0.15
313	265.710	271	0.150556
314	266.556	268	0.148889
315	267.403	251	0.139444
316	268.250	239	0.132778
317	269.097	242	0.134444
318	269.944	223	0.123889
319	270.790	241	0.133889
320	271.637	247	0.137222
321	272.484	235	0.130556
322	273.331	236	0.131111
323	274.177	260	0.144444
324	275.024	243	0.135
325	275.871	241	0.133889
326	276.718	249	0.138333
327	277.565	194	0.107778
328	278.411	223	0.123889
329	279.258	207	0.115
330	280.105	230	0.127778
331	280.952	207	0.115
332	281.798	214	0.118889
333	282.645	221	0.122778
334	283.492	219	0.121667
335	284.339	206	0.114444
336	285.185	220	0.122222
337	286.032	211	0.117222
338	286.879	214	0.118889
339	287.726	218	0.121111
340	288.573	205	0.113889
341	289.419	193	0.107222
342	290.266	239	0.132778
343	291.113	172	0.0955556
344	291.960	192	0.106667
345	292.806	195	0.108333
346	293.653	206	0.114444
347	294.500	174	0.0966667
348	295.347	188	0.104444
349	296.194	180	0.1
350	297.040	194	0.107778
351	297.887	181	0.100556
352	298.734	203	0.112778
353	299.581	173	0.0961111
354	300.427	186	0.103333
355	301.274	172	0.0955556
356	302.121	174	0.0966667
357	302.968	189	0.105
358	303.815	200	0.111111
359	304.661	175	0.0972222
360	305.508	169	0.0938889
361	306.355	178	0.0988889
362	307.202	177	0.0983333
363	308.048	149	0.0827778
364	308.895	151	0.0838889
365	309.742	182	0.101111
366	310.589	165	0.0916667
367	311.435	162	0.09
368	312.282	145	0.0805556
369	313.129	141	0.0783333
370	313.976	172	0.0955556
371	314.823	160	0.0888889
372	315.669	165	0.0916667
373	316.516	154	0.0855556
374	317.363	165	0.0916667
375	318.210	155	0.0861111
376	319.056	173	0.0961111
377	319.903	154	0.0855556
378	320.750	152	0.0844444
379	321.597	135	0.075
380	322.444	137	0.0761111
381	323.290	157	0.0872222
382	324.137	135	0.075
383	324.984	145	0.0805556
384	325.831	125	0.0694444
385	326.677	150	0.0833333
386	327.524	132	0.0733333
387	328.371	146	0.0811111
388	329.218	125	0.0694444
389	330.065	124	0.0688889
