#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 15:57:57
# Real time (s): 1907.300
# Live time (s): 1800.000
#
# Total counts:  24412704
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  3488
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
210	178.492	26499	14.7217
211	179.339	26256	14.5867
212	180.185	26253	14.585
213	181.032	26093	14.4961
214	181.879	26241	14.5783
215	182.726	25971	14.4283
216	183.573	25647	14.2483
217	184.419	25750	14.3056
218	185.266	25518	14.1767
219	186.113	25525	14.1806
220	186.960	25544	14.1911
221	187.806	25793	14.3294
222	188.653	25423	14.1239
223	189.500	25246	14.0256
224	190.347	25310	14.0611
225	191.194	25584	14.2133
226	192.040	24921	13.845
227	192.887	24986	13.8811
228	193.734	24898	13.8322
229	194.581	24906	13.8367
230	195.427	24822	13.79
231	196.274	24996	13.8867
232	197.121	24678	13.71
233	197.968	25048	13.9156
234	198.815	24534	13.63
235	199.661	24727	13.7372
236	200.508	24818	13.7878
237	201.355	24768	13.76
238	202.202	24771	13.7617
239	203.048	24738	13.7433
240	203.895	24541	13.6339
241	204.742	24618	13.6767
242	205.589	24314	13.5078
243	206.435	24191	13.4394
244	207.282	24446	13.5811
245	208.129	24453	13.585
246	208.976	24364	13.5356
247	209.823	23982	13.3233
248	210.669	24062	13.3678
249	211.516	24297	13.4983
250	212.363	24294	13.4967
251	213.210	24064	13.3689
252	214.056	23987	13.3261
253	214.903	24146	13.4144
254	215.750	23770	13.2056
255	216.597	24232	13.4622
256	217.444	23806	13.2256
257	218.290	23449	13.0272
258	219.137	23536	13.0756
259	219.984	23606	13.1144
260	220.831	23356	12.9756
261	221.677	23561	13.0894
262	222.524	23297	12.9428
263	223.371	23169	12.8717
264	224.218	23005	12.7806
265	225.065	22969	12.7606
266	225.911	22751	12.6394
267	226.758	22742	12.6344
268	227.605	22607	12.5594
269	228.452	22725	12.625
270	229.298	22345	12.4139
271	230.145	22127	12.2928
272	230.992	22041	12.245
273	231.839	21553	11.9739
274	232.685	21681	12.045
275	233.532	21343	11.8572
276	234.379	21054	11.6967
277	235.226	21167	11.7594
278	236.073	21008	11.6711
279	236.919	20552	11.4178
280	237.766	20399	11.3328
281	238.613	19975	11.0972
282	239.460	20274	11.2633
283	240.306	19958	11.0878
284	241.153	19712	10.9511
285	242.000	20045	11.1361
286	242.847	19670	10.9278
287	243.694	19263	10.7017
288	244.540	19478	10.8211
289	245.387	19242	10.69
290	246.234	18591	10.3283
291	247.081	18968	10.5378
292	247.927	18789	10.4383
293	248.774	18604	10.3356
294	249.621	18629	10.3494
295	250.468	18510	10.2833
296	251.315	18487	10.2706
297	252.161	18300	10.1667
298	253.008	18444	10.2467
299	253.855	18134	10.0744
300	254.702	18181	10.1006
301	255.548	18067	10.0372
302	256.395	18091	10.0506
303	257.242	18005	10.0028
304	258.089	18221	10.1228
305	258.935	18234	10.13
306	259.782	18403	10.2239
307	260.629	18184	10.1022
308	261.476	18401	10.2228
309	262.323	18572	10.3178
310	263.169	18450	10.25
311	264.016	18740	10.4111
312	264.863	18599	10.3328
313	265.710	18699	10.3883
314	266.556	18678	10.3767
315	267.403	18862	10.4789
316	268.250	18692	10.3844
317	269.097	18765	10.425
318	269.944	18951	10.5283
319	270.790	18608	10.3378
320	271.637	18984	10.5467
321	272.484	18878	10.4878
322	273.331	19019	10.5661
323	274.177	18692	10.3844
324	275.024	18857	10.4761
325	275.871	18457	10.2539
326	276.718	18235	10.1306
327	277.565	18033	10.0183
328	278.411	18186	10.1033
329	279.258	17988	9.99333
330	280.105	17603	9.77944
331	280.952	17536	9.74222
332	281.798	17304	9.61333
333	282.645	17077	9.48722
334	283.492	17024	9.45778
335	284.339	16568	9.20444
336	285.185	16142	8.96778
337	286.032	16189	8.99389
338	286.879	15846	8.80333
339	287.726	15599	8.66611
340	288.573	15271	8.48389
341	289.419	14844	8.24667
342	290.266	14490	8.05
343	291.113	14488	8.04889
344	291.960	14073	7.81833
345	292.806	13771	7.65056
346	293.653	13496	7.49778
347	294.500	13184	7.32444
348	295.347	12968	7.20444
349	296.194	12535	6.96389
350	297.040	12313	6.84056
351	297.887	12209	6.78278
352	298.734	11839	6.57722
353	299.581	11676	6.48667
354	300.427	11384	6.32444
355	301.274	11252	6.25111
356	302.121	11076	6.15333
357	302.968	10927	6.07056
358	303.815	10527	5.84833
359	304.661	10337	5.74278
360	305.508	10108	5.61556
361	306.355	10103	5.61278
362	307.202	9781	5.43389
363	308.048	9499	5.27722
364	308.895	9396	5.22
365	309.742	9218	5.12111
366	310.589	9056	5.03111
367	311.435	8972	4.98444
368	312.282	8542	4.74556
369	313.129	8731	4.85056
370	313.976	8491	4.71722
371	314.823	8410	4.67222
372	315.669	8251	4.58389
373	316.516	8205	4.55833
374	317.363	8116	4.50889
375	318.210	7840	4.35556
376	319.056	7770	4.31667
377	319.903	7498	4.16556
378	320.750	7538	4.18778
379	321.597	7307	4.05944
380	322.444	7191	3.995
381	323.290	7232	4.01778
382	324.137	7052	3.91778
383	324.984	6817	3.78722
384	325.831	6762	3.75667
385	326.677	6688	3.71556
386	327.524	6663	3.70167
387	328.371	6590	3.66111
388	329.218	6339	3.52167
389	330.065	6319	3.51056
390	330.911	6067	3.37056
391	331.758	6166	3.42556
392	332.605	6017	3.34278
393	333.452	5942	3.30111
394	334.298	5661	3.145
395	335.145	5623	3.12389
396	335.992	5680	3.15556
397	336.839	5491	3.05056
398	337.685	5455	3.03056
399	338.532	5386	2.99222
400	339.379	5210	2.89444
401	340.226	5136	2.85333
402	341.073	5052	2.80667
403	341.919	4951	2.75056
404	342.766	4685	2.60278
405	343.613	4781	2.65611
406	344.460	4679	2.59944
407	345.306	4515	2.50833
408	346.153	4477	2.48722
409	347.000	4450	2.47222
410	347.847	4262	2.36778
411	348.694	4324	2.40222
412	349.540	4260	2.36667
413	350.387	4185	2.325
414	351.234	4044	2.24667
415	352.081	4086	2.27
416	352.927	4120	2.28889
417	353.774	3911	2.17278
418	354.621	3855	2.14167
419	355.468	3894	2.16333
420	356.315	3730	2.07222
421	357.161	3707	2.05944
422	358.008	3623	2.01278
423	358.855	3510	1.95
424	359.702	3469	1.92722
425	360.548	3505	1.94722
426	361.395	3472	1.92889
427	362.242	3411	1.895
428	363.089	3392	1.88444
429	363.935	3305	1.83611
430	364.782	3321	1.845
431	365.629	3227	1.79278
432	366.476	3264	1.81333
433	367.323	3200	1.77778
434	368.169	3197	1.77611
435	369.016	3171	1.76167
436	369.863	3025	1.68056
437	370.710	3154	1.75222
438	371.556	3135	1.74167
439	372.403	2971	1.65056
440	373.250	2987	1.65944
441	374.097	2970	1.65
442	374.944	3037	1.68722
443	375.790	2947	1.63722
444	376.637	2895	1.60833
445	377.484	2749	1.52722
446	378.331	2734	1.51889
447	379.177	2783	1.54611
448	380.024	2730	1.51667
449	380.871	2807	1.55944
450	381.718	2804	1.55778
451	382.565	2684	1.49111
452	383.411	2696	1.49778
453	384.258	2682	1.49
454	385.105	2686	1.49222
455	385.952	2609	1.44944
456	386.798	2549	1.41611
