#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 16:12:21
# Real time (s): 1251.470
# Live time (s): 1200.000
#
# Total counts:  2322480
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  898
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	31	0.0258333
4	4.056	105	0.0875
5	4.903	227	0.189167
6	5.750	310	0.258333
7	6.597	398	0.331667
8	7.444	410	0.341667
9	8.290	560	0.466667
10	9.137	2422	2.01833
11	9.984	4394	3.66167
12	10.831	6090	5.075
13	11.677	8097	6.7475
14	12.524	7861	6.55083
15	13.371	7681	6.40083
16	14.218	7786	6.48833
17	15.065	7796	6.49667
18	15.911	7578	6.315
19	16.758	7581	6.3175
20	17.605	7936	6.61333
21	18.452	7764	6.47
22	19.298	7813	6.51083
23	20.145	7895	6.57917
24	20.992	7835	6.52917
25	21.839	7936	6.61333
26	22.685	7966	6.63833
27	23.532	8148	6.79
28	24.379	8054	6.71167
29	25.226	8087	6.73917
30	26.073	8179	6.81583
31	26.919	8237	6.86417
32	27.766	8369	6.97417
33	28.613	8332	6.94333
34	29.460	8478	7.065
35	30.306	8454	7.045
36	31.153	8477	7.06417
37	32.000	8618	7.18167
38	32.847	8604	7.17
39	33.694	8585	7.15417
40	34.540	8738	7.28167
41	35.387	8907	7.4225
42	36.234	8909	7.42417
43	37.081	9073	7.56083
44	37.927	9087	7.5725
45	38.774	9259	7.71583
46	39.621	9330	7.775
47	40.468	9446	7.87167
48	41.315	9787	8.15583
49	42.161	9682	8.06833
50	43.008	9873	8.2275
51	43.855	10108	8.42333
52	44.702	10212	8.51
53	45.548	10296	8.58
54	46.395	10298	8.58167
55	47.242	10301	8.58417
56	48.089	10656	8.88
57	48.935	10763	8.96917
58	49.782	10596	8.83
59	50.629	10713	8.9275
60	51.476	10845	9.0375
61	52.323	10808	9.00667
62	53.169	10732	8.94333
63	54.016	10839	9.0325
64	54.863	10598	8.83167
65	55.710	10756	8.96333
66	56.556	10585	8.82083
67	57.403	10602	8.835
68	58.250	10565	8.80417
69	59.097	10240	8.53333
70	59.944	10386	8.655
71	60.790	10096	8.41333
72	61.637	10065	8.3875
73	62.484	9931	8.27583
74	63.331	9940	8.28333
75	64.177	9818	8.18167
76	65.024	9687	8.0725
77	65.871	9498	7.915
78	66.718	9403	7.83583
79	67.565	9452	7.87667
80	68.411	9300	7.75
81	69.258	9081	7.5675
82	70.105	9092	7.57667
83	70.952	9052	7.54333
84	71.798	8948	7.45667
85	72.645	8814	7.345
86	73.492	8632	7.19333
87	74.339	8772	7.31
88	75.185	8530	7.10833
89	76.032	8490	7.075
90	76.879	8370	6.975
