#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 17:39:33
# Real time (s): 1213.990
# Live time (s): 1200.000
#
# Total counts:  121046
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  67
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
229	194.581	349	0.290833
230	195.427	309	0.2575
231	196.274	327	0.2725
232	197.121	310	0.258333
233	197.968	274	0.228333
234	198.815	274	0.228333
235	199.661	277	0.230833
236	200.508	298	0.248333
237	201.355	255	0.2125
238	202.202	285	0.2375
239	203.048	289	0.240833
240	203.895	289	0.240833
241	204.742	280	0.233333
242	205.589	298	0.248333
243	206.435	256	0.213333
244	207.282	265	0.220833
245	208.129	303	0.2525
246	208.976	279	0.2325
247	209.823	290	0.241667
248	210.669	278	0.231667
249	211.516	237	0.1975
250	212.363	296	0.246667
251	213.210	256	0.213333
252	214.056	282	0.235
253	214.903	250	0.208333
254	215.750	252	0.21
255	216.597	240	0.2
256	217.444	252	0.21
257	218.290	226	0.188333
258	219.137	255	0.2125
259	219.984	228	0.19
260	220.831	229	0.190833
261	221.677	217	0.180833
262	222.524	232	0.193333
263	223.371	256	0.213333
264	224.218	225	0.1875
265	225.065	218	0.181667
266	225.911	194	0.161667
267	226.758	228	0.19
268	227.605	208	0.173333
269	228.452	228	0.19
270	229.298	176	0.146667
271	230.145	210	0.175
272	230.992	189	0.1575
273	231.839	193	0.160833
274	232.685	210	0.175
275	233.532	189	0.1575
276	234.379	215	0.179167
277	235.226	221	0.184167
278	236.073	192	0.16
279	236.919	177	0.1475
280	237.766	196	0.163333
281	238.613	197	0.164167
282	239.460	197	0.164167
283	240.306	177	0.1475
284	241.153	194	0.161667
285	242.000	194	0.161667
286	242.847	193	0.160833
287	243.694	173	0.144167
288	244.540	202	0.168333
289	245.387	171	0.1425
290	246.234	149	0.124167
291	247.081	182	0.151667
292	247.927	168	0.14
293	248.774	164	0.136667
294	249.621	202	0.168333
295	250.468	167	0.139167
296	251.315	146	0.121667
297	252.161	179	0.149167
298	253.008	148	0.123333
299	253.855	165	0.1375
300	254.702	167	0.139167
301	255.548	169	0.140833
302	256.395	189	0.1575
303	257.242	140	0.116667
304	258.089	142	0.118333
305	258.935	156	0.13
306	259.782	160	0.133333
307	260.629	138	0.115
308	261.476	143	0.119167
309	262.323	165	0.1375
310	263.169	159	0.1325
311	264.016	142	0.118333
312	264.863	147	0.1225
313	265.710	122	0.101667
314	266.556	148	0.123333
315	267.403	150	0.125
316	268.250	147	0.1225
317	269.097	148	0.123333
318	269.944	139	0.115833
319	270.790	133	0.110833
320	271.637	131	0.109167
321	272.484	157	0.130833
322	273.331	134	0.111667
323	274.177	111	0.0925
324	275.024	123	0.1025
325	275.871	134	0.111667
326	276.718	123	0.1025
327	277.565	100	0.0833333
328	278.411	133	0.110833
329	279.258	105	0.0875
330	280.105	121	0.100833
331	280.952	118	0.0983333
332	281.798	111	0.0925
333	282.645	115	0.0958333
334	283.492	123	0.1025
335	284.339	113	0.0941667
336	285.185	116	0.0966667
337	286.032	124	0.103333
338	286.879	118	0.0983333
339	287.726	83	0.0691667
340	288.573	120	0.1
341	289.419	111	0.0925
342	290.266	101	0.0841667
343	291.113	103	0.0858333
344	291.960	104	0.0866667
345	292.806	101	0.0841667
346	293.653	134	0.111667
347	294.500	99	0.0825
348	295.347	85	0.0708333
349	296.194	92	0.0766667
350	297.040	100	0.0833333
351	297.887	104	0.0866667
352	298.734	106	0.0883333
353	299.581	81	0.0675
354	300.427	107	0.0891667
355	301.274	108	0.09
356	302.121	104	0.0866667
357	302.968	85	0.0708333
358	303.815	96	0.08
359	304.661	94	0.0783333
360	305.508	90	0.075
361	306.355	104	0.0866667
362	307.202	84	0.07
363	308.048	112	0.0933333
364	308.895	93	0.0775
365	309.742	89	0.0741667
366	310.589	102	0.085
367	311.435	93	0.0775
368	312.282	90	0.075
369	313.129	87	0.0725
370	313.976	92	0.0766667
371	314.823	80	0.0666667
372	315.669	86	0.0716667
373	316.516	89	0.0741667
374	317.363	81	0.0675
375	318.210	92	0.0766667
376	319.056	78	0.065
377	319.903	80	0.0666667
378	320.750	77	0.0641667
379	321.597	76	0.0633333
380	322.444	90	0.075
381	323.290	91	0.0758333
382	324.137	93	0.0775
383	324.984	73	0.0608333
384	325.831	73	0.0608333
385	326.677	85	0.0708333
386	327.524	78	0.065
387	328.371	93	0.0775
388	329.218	71	0.0591667
389	330.065	66	0.055
390	330.911	65	0.0541667
391	331.758	65	0.0541667
392	332.605	75	0.0625
