#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 15:48:49
# Real time (s): 1242.360
# Live time (s): 1200.000
#
# Total counts:  1263054
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  1577
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	11	0.00916667
4	4.056	46	0.0383333
5	4.903	73	0.0608333
6	5.750	105	0.0875
7	6.597	135	0.1125
8	7.444	155	0.129167
9	8.290	221	0.184167
10	9.137	1067	0.889167
11	9.984	2048	1.70667
12	10.831	2725	2.27083
13	11.677	3558	2.965
14	12.524	3540	2.95
15	13.371	3555	2.9625
16	14.218	3511	2.92583
17	15.065	3441	2.8675
18	15.911	3586	2.98833
19	16.758	3591	2.9925
20	17.605	3503	2.91917
21	18.452	3479	2.89917
22	19.298	3573	2.9775
23	20.145	3559	2.96583
24	20.992	3542	2.95167
25	21.839	3450	2.875
26	22.685	3615	3.0125
27	23.532	3628	3.02333
28	24.379	3633	3.0275
29	25.226	3652	3.04333
30	26.073	3568	2.97333
31	26.919	3738	3.115
32	27.766	3651	3.0425
33	28.613	3693	3.0775
34	29.460	3664	3.05333
35	30.306	3662	3.05167
36	31.153	3692	3.07667
37	32.000	3706	3.08833
38	32.847	3729	3.1075
39	33.694	3730	3.10833
40	34.540	3752	3.12667
41	35.387	3808	3.17333
42	36.234	3849	3.2075
43	37.081	3931	3.27583
44	37.927	3774	3.145
45	38.774	3865	3.22083
46	39.621	4088	3.40667
47	40.468	3924	3.27
48	41.315	4020	3.35
49	42.161	4012	3.34333
50	43.008	4125	3.4375
51	43.855	4108	3.42333
52	44.702	4241	3.53417
53	45.548	4165	3.47083
54	46.395	4214	3.51167
55	47.242	4160	3.46667
56	48.089	4412	3.67667
57	48.935	4321	3.60083
58	49.782	4322	3.60167
59	50.629	4281	3.5675
60	51.476	4395	3.6625
61	52.323	4396	3.66333
62	53.169	4322	3.60167
63	54.016	4325	3.60417
64	54.863	4471	3.72583
65	55.710	4510	3.75833
66	56.556	4351	3.62583
67	57.403	4441	3.70083
68	58.250	4467	3.7225
69	59.097	4430	3.69167
70	59.944	4400	3.66667
71	60.790	4344	3.62
72	61.637	4328	3.60667
73	62.484	4359	3.6325
74	63.331	4211	3.50917
75	64.177	4207	3.50583
76	65.024	4364	3.63667
77	65.871	4252	3.54333
78	66.718	4073	3.39417
79	67.565	4134	3.445
80	68.411	4108	3.42333
81	69.258	4103	3.41917
82	70.105	4026	3.355
83	70.952	4018	3.34833
84	71.798	3936	3.28
85	72.645	3966	3.305
86	73.492	4002	3.335
87	74.339	3882	3.235
88	75.185	3956	3.29667
89	76.032	3871	3.22583
