#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 17:16:57
# Real time (s): 1263.400
# Live time (s): 1200.000
#
# Total counts:  206129
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  106
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
228	193.734	631	0.525833
229	194.581	589	0.490833
230	195.427	582	0.485
231	196.274	574	0.478333
232	197.121	578	0.481667
233	197.968	556	0.463333
234	198.815	560	0.466667
235	199.661	552	0.46
236	200.508	530	0.441667
237	201.355	535	0.445833
238	202.202	534	0.445
239	203.048	492	0.41
240	203.895	521	0.434167
241	204.742	529	0.440833
242	205.589	478	0.398333
243	206.435	464	0.386667
244	207.282	457	0.380833
245	208.129	466	0.388333
246	208.976	467	0.389167
247	209.823	455	0.379167
248	210.669	423	0.3525
249	211.516	424	0.353333
250	212.363	441	0.3675
251	213.210	392	0.326667
252	214.056	409	0.340833
253	214.903	386	0.321667
254	215.750	376	0.313333
255	216.597	412	0.343333
256	217.444	414	0.345
257	218.290	419	0.349167
258	219.137	372	0.31
259	219.984	377	0.314167
260	220.831	367	0.305833
261	221.677	370	0.308333
262	222.524	344	0.286667
263	223.371	339	0.2825
264	224.218	336	0.28
265	225.065	312	0.26
266	225.911	340	0.283333
267	226.758	345	0.2875
268	227.605	306	0.255
269	228.452	330	0.275
270	229.298	351	0.2925
271	230.145	321	0.2675
272	230.992	320	0.266667
273	231.839	318	0.265
274	232.685	268	0.223333
275	233.532	283	0.235833
276	234.379	290	0.241667
277	235.226	307	0.255833
278	236.073	295	0.245833
279	236.919	305	0.254167
280	237.766	271	0.225833
281	238.613	263	0.219167
282	239.460	219	0.1825
283	240.306	249	0.2075
284	241.153	256	0.213333
285	242.000	250	0.208333
286	242.847	253	0.210833
287	243.694	263	0.219167
288	244.540	238	0.198333
289	245.387	226	0.188333
290	246.234	252	0.21
291	247.081	273	0.2275
292	247.927	241	0.200833
293	248.774	229	0.190833
294	249.621	241	0.200833
295	250.468	230	0.191667
296	251.315	238	0.198333
297	252.161	210	0.175
