#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 14:57:48
# Real time (s): 1234.220
# Live time (s): 1200.000
#
# Total counts:  2339394
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  1411
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
211	179.339	4855	4.04583
212	180.185	4932	4.11
213	181.032	4804	4.00333
214	181.879	4824	4.02
215	182.726	4924	4.10333
216	183.573	4862	4.05167
217	184.419	4977	4.1475
218	185.266	4884	4.07
219	186.113	4882	4.06833
220	186.960	4876	4.06333
221	187.806	4806	4.005
222	188.653	4852	4.04333
223	189.500	4821	4.0175
224	190.347	4808	4.00667
225	191.194	4838	4.03167
226	192.040	5000	4.16667
227	192.887	4878	4.065
228	193.734	4958	4.13167
229	194.581	4985	4.15417
230	195.427	4924	4.10333
231	196.274	4872	4.06
232	197.121	4833	4.0275
233	197.968	4953	4.1275
234	198.815	4856	4.04667
235	199.661	4852	4.04333
236	200.508	4916	4.09667
237	201.355	5000	4.16667
238	202.202	4783	3.98583
239	203.048	4933	4.11083
240	203.895	4804	4.00333
241	204.742	4839	4.0325
242	205.589	4960	4.13333
243	206.435	4916	4.09667
244	207.282	4921	4.10083
245	208.129	4929	4.1075
246	208.976	4943	4.11917
247	209.823	4907	4.08917
248	210.669	5013	4.1775
249	211.516	4814	4.01167
250	212.363	4903	4.08583
251	213.210	4962	4.135
252	214.056	4820	4.01667
253	214.903	4840	4.03333
254	215.750	4858	4.04833
255	216.597	4921	4.10083
256	217.444	4889	4.07417
257	218.290	4861	4.05083
258	219.137	4974	4.145
259	219.984	4894	4.07833
260	220.831	4721	3.93417
261	221.677	4880	4.06667
262	222.524	4822	4.01833
263	223.371	4780	3.98333
264	224.218	4868	4.05667
265	225.065	4695	3.9125
266	225.911	4832	4.02667
267	226.758	4763	3.96917
268	227.605	4812	4.01
269	228.452	4700	3.91667
270	229.298	4666	3.88833
271	230.145	4631	3.85917
272	230.992	4725	3.9375
273	231.839	4465	3.72083
274	232.685	4627	3.85583
275	233.532	4397	3.66417
276	234.379	4549	3.79083
277	235.226	4486	3.73833
278	236.073	4494	3.745
279	236.919	4237	3.53083
280	237.766	4199	3.49917
281	238.613	4199	3.49917
282	239.460	4123	3.43583
283	240.306	4161	3.4675
284	241.153	4188	3.49
285	242.000	3915	3.2625
286	242.847	4009	3.34083
287	243.694	3951	3.2925
288	244.540	3929	3.27417
289	245.387	3851	3.20917
290	246.234	3697	3.08083
291	247.081	3760	3.13333
292	247.927	3717	3.0975
293	248.774	3546	2.955
294	249.621	3529	2.94083
295	250.468	3465	2.8875
296	251.315	3451	2.87583
297	252.161	3498	2.915
298	253.008	3427	2.85583
299	253.855	3296	2.74667
300	254.702	3256	2.71333
301	255.548	3291	2.7425
302	256.395	3262	2.71833
303	257.242	3181	2.65083
304	258.089	3138	2.615
305	258.935	3085	2.57083
306	259.782	3073	2.56083
307	260.629	2954	2.46167
308	261.476	3056	2.54667
309	262.323	3013	2.51083
310	263.169	2912	2.42667
311	264.016	2885	2.40417
312	264.863	2816	2.34667
313	265.710	2827	2.35583
314	266.556	2910	2.425
315	267.403	2724	2.27
316	268.250	2808	2.34
317	269.097	2806	2.33833
318	269.944	2810	2.34167
319	270.790	2765	2.30417
320	271.637	2752	2.29333
321	272.484	2755	2.29583
322	273.331	2852	2.37667
323	274.177	2755	2.29583
324	275.024	2747	2.28917
325	275.871	2869	2.39083
326	276.718	2841	2.3675
327	277.565	2854	2.37833
328	278.411	2873	2.39417
329	279.258	2903	2.41917
330	280.105	2924	2.43667
331	280.952	2986	2.48833
332	281.798	2972	2.47667
333	282.645	3054	2.545
334	283.492	3033	2.5275
335	284.339	3162	2.635
336	285.185	3091	2.57583
337	286.032	3152	2.62667
338	286.879	3271	2.72583
339	287.726	3237	2.6975
340	288.573	3442	2.86833
341	289.419	3439	2.86583
342	290.266	3485	2.90417
343	291.113	3624	3.02
344	291.960	3599	2.99917
345	292.806	3742	3.11833
346	293.653	3770	3.14167
