#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 13:51:37
# Real time (s): 1265.570
# Live time (s): 1200.000
#
# Total counts:  207359
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  162
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	2	0.00166667
5	4.903	12	0.01
6	5.750	29	0.0241667
7	6.597	36	0.03
8	7.444	64	0.0533333
9	8.290	209	0.174167
10	9.137	335	0.279167
11	9.984	437	0.364167
12	10.831	570	0.475
13	11.677	474	0.395
14	12.524	488	0.406667
15	13.371	454	0.378333
16	14.218	486	0.405
17	15.065	430	0.358333
18	15.911	414	0.345
19	16.758	439	0.365833
20	17.605	434	0.361667
21	18.452	423	0.3525
22	19.298	442	0.368333
23	20.145	435	0.3625
24	20.992	417	0.3475
25	21.839	416	0.346667
26	22.685	405	0.3375
27	23.532	438	0.365
28	24.379	455	0.379167
29	25.226	404	0.336667
30	26.073	461	0.384167
31	26.919	446	0.371667
32	27.766	438	0.365
33	28.613	429	0.3575
34	29.460	445	0.370833
35	30.306	486	0.405
36	31.153	447	0.3725
37	32.000	439	0.365833
38	32.847	492	0.41
39	33.694	474	0.395
40	34.540	501	0.4175
41	35.387	491	0.409167
42	36.234	445	0.370833
43	37.081	495	0.4125
44	37.927	503	0.419167
45	38.774	473	0.394167
46	39.621	506	0.421667
47	40.468	461	0.384167
48	41.315	433	0.360833
49	42.161	464	0.386667
50	43.008	454	0.378333
51	43.855	512	0.426667
52	44.702	491	0.409167
53	45.548	554	0.461667
54	46.395	469	0.390833
55	47.242	510	0.425
56	48.089	525	0.4375
57	48.935	494	0.411667
58	49.782	501	0.4175
59	50.629	522	0.435
60	51.476	487	0.405833
61	52.323	501	0.4175
62	53.169	501	0.4175
63	54.016	523	0.435833
64	54.863	530	0.441667
65	55.710	492	0.41
66	56.556	496	0.413333
67	57.403	523	0.435833
68	58.250	514	0.428333
69	59.097	539	0.449167
70	59.944	504	0.42
71	60.790	529	0.440833
72	61.637	566	0.471667
73	62.484	569	0.474167
74	63.331	517	0.430833
75	64.177	568	0.473333
76	65.024	520	0.433333
77	65.871	527	0.439167
78	66.718	479	0.399167
79	67.565	532	0.443333
80	68.411	522	0.435
81	69.258	538	0.448333
82	70.105	562	0.468333
83	70.952	532	0.443333
84	71.798	524	0.436667
85	72.645	515	0.429167
86	73.492	556	0.463333
87	74.339	566	0.471667
88	75.185	557	0.464167
89	76.032	537	0.4475
90	76.879	577	0.480833
91	77.726	511	0.425833
92	78.573	536	0.446667
93	79.419	551	0.459167
94	80.266	519	0.4325
95	81.113	528	0.44
96	81.960	526	0.438333
