Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-8.470000e-06,0.024,0,0.8
-8.460000e-06,0.024,0,0.72
-8.450000e-06,0.032,0,0.72
-8.440000e-06,0.032,0,0.8
-8.430000e-06,0.032,0,0.8
-8.420000e-06,0.032,0.0008,0.8
-8.410000e-06,0.024,0,0.72
-8.400000e-06,0.032,0,0.8
-8.390000e-06,0.032,0,0.72
-8.380000e-06,0.032,0,0.64
-8.370000e-06,0.024,0,0.72
-8.360000e-06,0.032,0.0008,0.72
-8.350000e-06,0.032,0,0.8
-8.340000e-06,0.032,0,0.72
-8.330000e-06,0.024,0,0.72
-8.320000e-06,0.024,0,0.8
-8.310000e-06,0.032,-0.0008,0.72
-8.300000e-06,0.032,0,0.8
-8.290000e-06,0.04,0,0.72
-8.280000e-06,0.024,0,0.64
-8.270000e-06,0.032,0,0.72
-8.260000e-06,0.024,0,0.72
-8.250000e-06,0.024,0,0.8
-8.240000e-06,0.032,0,0.72
-8.230000e-06,0.024,0,0.8
-8.220000e-06,0.032,0,0.8
-8.210000e-06,0.032,0,0.72
-8.200000e-06,0.024,0,0.8
-8.190000e-06,0.024,0,0.72
-8.180000e-06,0.032,0,0.72
-8.170000e-06,0.032,0,0.8
-8.160000e-06,0.032,0,0.8
-8.150000e-06,0.024,0,0.8
-8.140000e-06,0.024,0,0.8
-8.130000e-06,0.032,0.0008,0.72
-8.120000e-06,0.032,0,0.72
-8.110000e-06,0.032,0,0.72
-8.100000e-06,0.032,0,0.8
-8.090000e-06,0.032,0.0008,0.64
-8.080000e-06,0.04,0,0.8
-8.070000e-06,0.032,0,0.8
-8.060000e-06,0.032,0,0.72
-8.050000e-06,0.024,0,0.8
-8.040000e-06,0.032,0,0.72
-8.030000e-06,0.032,0,0.72
-8.020000e-06,0.032,0,0.72
-8.010000e-06,0.04,0,0.72
-8.000000e-06,0.032,0,0.72
-7.990000e-06,0.024,0,0.8
-7.980000e-06,0.024,0,0.72
-7.970000e-06,0.032,-0.0008,0.8
-7.960000e-06,0.024,0.0008,0.8
-7.950000e-06,0.032,0,0.72
-7.940000e-06,0.032,0,0.64
-7.930000e-06,0.032,0,0.8
-7.920000e-06,0.04,0,0.72
-7.910000e-06,0.032,0,0.8
-7.900000e-06,0.04,0,0.8
-7.890000e-06,0.032,0,0.72
-7.880000e-06,0.024,0,0.72
-7.870000e-06,0.032,0,0.8
-7.860000e-06,0.024,0,0.8
-7.850000e-06,0.024,0,0.72
-7.840000e-06,0.04,0,0.72
-7.830000e-06,0.032,0,0.8
-7.820000e-06,0.024,0,0.8
-7.810000e-06,0.032,0,0.8
-7.800000e-06,0.024,0,0.8
-7.790000e-06,0.04,0,0.8
-7.780000e-06,0.024,0,0.8
-7.770000e-06,0.04,0,0.72
-7.760000e-06,0.032,0,0.72
-7.750000e-06,0.032,0,0.72
-7.740000e-06,0.024,0,0.8
-7.730000e-06,0.032,0,0.72
-7.720000e-06,0.024,0,0.8
-7.710000e-06,0.024,0,0.72
-7.700000e-06,0.032,-0.0008,0.72
-7.690000e-06,0.024,0,0.72
-7.680000e-06,0.032,0.0008,0.72
-7.670000e-06,0.032,0,0.8
-7.660000e-06,0.024,0,0.8
-7.650000e-06,0.032,0,0.64
-7.640000e-06,0.032,0,0.8
-7.630000e-06,0.024,0,0.72
-7.620000e-06,0.032,-0.0008,0.72
-7.610000e-06,0.024,0,0.8
-7.600000e-06,0.04,0,0.72
-7.590000e-06,0.032,0,0.8
-7.580000e-06,0.032,0,0.72
-7.570000e-06,0.04,0,0.72
-7.560000e-06,0.024,0,0.72
-7.550000e-06,0.032,0,0.88
-7.540000e-06,0.032,-0.0008,0.72
-7.530000e-06,0.032,-0.0008,0.72
-7.520000e-06,0.032,0,0.72
-7.510000e-06,0.024,0,0.8
-7.500000e-06,0.032,0,0.72
