#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 12:00:12
# Real time (s): 1223.860
# Live time (s): 1200.000
#
# Total counts:  2281979
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  4172
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	3	0.0025
2	2.363	3	0.0025
3	3.210	2	0.00166667
4	4.056	2	0.00166667
5	4.903	7	0.00583333
6	5.750	51	0.0425
7	6.597	663	0.5525
8	7.444	2267	1.88917
9	8.290	3062	2.55167
10	9.137	4288	3.57333
11	9.984	4740	3.95
12	10.831	4321	3.60083
13	11.677	4444	3.70333
14	12.524	4388	3.65667
15	13.371	4292	3.57667
16	14.218	4393	3.66083
17	15.065	4452	3.71
18	15.911	4418	3.68167
19	16.758	4382	3.65167
20	17.605	4413	3.6775
21	18.452	4416	3.68
22	19.298	4463	3.71917
23	20.145	4402	3.66833
24	20.992	4466	3.72167
25	21.839	4383	3.6525
26	22.685	4445	3.70417
27	23.532	4462	3.71833
28	24.379	4525	3.77083
29	25.226	4500	3.75
30	26.073	4573	3.81083
31	26.919	4371	3.6425
32	27.766	4531	3.77583
33	28.613	4455	3.7125
34	29.460	4603	3.83583
35	30.306	4585	3.82083
36	31.153	4521	3.7675
37	32.000	4591	3.82583
38	32.847	4390	3.65833
39	33.694	4406	3.67167
40	34.540	4473	3.7275
41	35.387	4630	3.85833
42	36.234	4535	3.77917
43	37.081	4595	3.82917
44	37.927	4546	3.78833
45	38.774	4775	3.97917
46	39.621	4611	3.8425
47	40.468	4591	3.82583
48	41.315	4604	3.83667
49	42.161	4522	3.76833
50	43.008	4722	3.935
51	43.855	4672	3.89333
52	44.702	4677	3.8975
53	45.548	4637	3.86417
54	46.395	4701	3.9175
55	47.242	4637	3.86417
56	48.089	4840	4.03333
57	48.935	4889	4.07417
58	49.782	4731	3.9425
59	50.629	4837	4.03083
60	51.476	4822	4.01833
61	52.323	4830	4.025
62	53.169	4836	4.03
63	54.016	4796	3.99667
64	54.863	4853	4.04417
65	55.710	4927	4.10583
66	56.556	5042	4.20167
67	57.403	5076	4.23
68	58.250	4992	4.16
69	59.097	4954	4.12833
