#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 13:17:28
# Real time (s): 1262.230
# Live time (s): 1200.000
#
# Total counts:  209581
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  252
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	1	0.000833333
6	5.750	8	0.00666667
7	6.597	106	0.0883333
8	7.444	329	0.274167
9	8.290	454	0.378333
10	9.137	651	0.5425
11	9.984	690	0.575
12	10.831	620	0.516667
13	11.677	541	0.450833
14	12.524	449	0.374167
15	13.371	511	0.425833
16	14.218	449	0.374167
17	15.065	445	0.370833
18	15.911	438	0.365
19	16.758	393	0.3275
20	17.605	373	0.310833
21	18.452	342	0.285
22	19.298	421	0.350833
23	20.145	381	0.3175
24	20.992	380	0.316667
25	21.839	376	0.313333
26	22.685	337	0.280833
27	23.532	344	0.286667
28	24.379	340	0.283333
29	25.226	320	0.266667
30	26.073	346	0.288333
31	26.919	342	0.285
32	27.766	335	0.279167
33	28.613	350	0.291667
34	29.460	352	0.293333
35	30.306	359	0.299167
36	31.153	353	0.294167
37	32.000	353	0.294167
38	32.847	331	0.275833
39	33.694	353	0.294167
40	34.540	345	0.2875
41	35.387	370	0.308333
42	36.234	357	0.2975
43	37.081	396	0.33
44	37.927	358	0.298333
45	38.774	348	0.29
46	39.621	403	0.335833
47	40.468	388	0.323333
48	41.315	361	0.300833
49	42.161	422	0.351667
50	43.008	402	0.335
51	43.855	360	0.3
52	44.702	340	0.283333
53	45.548	394	0.328333
54	46.395	419	0.349167
55	47.242	419	0.349167
56	48.089	365	0.304167
57	48.935	387	0.3225
58	49.782	416	0.346667
59	50.629	434	0.361667
60	51.476	408	0.34
61	52.323	374	0.311667
62	53.169	406	0.338333
63	54.016	359	0.299167
64	54.863	415	0.345833
65	55.710	425	0.354167
66	56.556	422	0.351667
67	57.403	432	0.36
68	58.250	394	0.328333
69	59.097	424	0.353333
70	59.944	436	0.363333
71	60.790	383	0.319167
72	61.637	407	0.339167
73	62.484	410	0.341667
74	63.331	428	0.356667
75	64.177	406	0.338333
76	65.024	408	0.34
77	65.871	381	0.3175
78	66.718	387	0.3225
79	67.565	427	0.355833
80	68.411	403	0.335833
81	69.258	450	0.375
82	70.105	413	0.344167
83	70.952	421	0.350833
84	71.798	444	0.37
85	72.645	411	0.3425
86	73.492	432	0.36
87	74.339	424	0.353333
88	75.185	468	0.39
89	76.032	425	0.354167
90	76.879	455	0.379167
91	77.726	426	0.355
92	78.573	454	0.378333
93	79.419	439	0.365833
94	80.266	394	0.328333
95	81.113	459	0.3825
96	81.960	398	0.331667
