event	t0	dt	ADC0	ADC1	ADC2	ADC3	ADC4
138	169522938	104	20180	20196	20180	20196	20180
139	169717967	101	21157	21157	21125	21157	21141
140	169911512	101	26550	26454	26390	26342	26278
141	170113124	105	22213	22197	22181	22181	22197
142	170319198	102	27494	27334	27174	27094	26982
143	170512077	105	20517	20501	20501	20485	20485
144	170710571	106	25174	25142	25110	25142	25094
145	170902142	103	18788	18788	18772	18756	18756
146	171098403	105	22085	22053	22085	22053	22053
147	171295253	104	22741	22741	22741	22773	22725
148	171484105	102	21029	21045	21029	21013	21029
149	171675448	106	25382	25302	25302	25270	25254
150	171870248	104	20148	20132	20116	20148	20116
151	172069851	105	18852	18836	18836	18820	18820
152	172262056	99	20356	20388	20356	20324	20356
153	172731240	114	17476	17508	17476	17492	17540
154	172925485	105	21189	21189	21173	21157	21141
155	173132191	106	17188	17188	17172	17172	17188
156	173323814	111	22917	22917	22965	22901	22885
157	173517239	106	20020	20004	19988	20004	20004
158	173712563	106	20805	20821	20805	20805	20789
159	173908563	108	21957	21957	21941	21957	21941
160	174098808	103	20709	20725	20709	20709	20709
161	174288881	111	26054	26006	25926	25894	25878
162	174487118	103	22693	22677	22693	22677	22661
163	174684525	106	21285	21285	21269	21269	21269
164	174879342	103	19380	19348	19348	19348	19332
165	175076775	109	22981	23013	22949	22949	22949
166	175272044	102	25910	25862	25830	25798	25766
167	175471259	106	21925	21893	21893	21893	21877
168	175674549	103	21221	21205	21189	21173	21237
169	175865928	116	19028	19012	19012	19028	19012
170	176061325	106	20036	20036	20036	20004	20020
171	176260179	107	21333	21349	21333	21333	21333
172	176448556	103	20645	20613	20629	20629	20613
173	176641387	116	21093	25046	25046	25014	24982
174	177110038	111	20917	20885	20917	20885	20869
175	177301424	107	20997	21045	21013	20981	20997
176	177498394	101	21845	21829	21829	21861	21829
177	177695840	109	20677	20677	20645	20677	20677
178	177892934	109	21557	21573	21573	21557	21541
179	178094735	108	19748	19732	19732	19716	19716
180	178288380	112	21429	21413	21397	21413	21429
181	178480850	108	19876	19876	19860	19860	19876
182	178674606	107	19028	19076	19076	19028	19028
183	178872893	102	16516	16532	16532	16532	16516
184	179068371	100	20773	20773	20789	20789	20805
185	179280894	111	20485	20485	20485	20468	20485
186	179471372	111	22901	22853	22837	22869	22837
187	179662542	106	18788	18788	18772	18772	18740
188	179853388	107	21173	21141	21157	21189	21157
189	180050788	100	21381	21381	21397	21349	21349
190	180242859	98	20789	20805	20773	20789	20821
191	180444125	110	16932	16916	16900	16916	16900
192	180641725	105	22485	22453	22453	22437	22453
193	180835910	112	22837	22837	22821	22805	22821
194	181030373	112	22693	22693	22677	22677	22677
195	181505207	113	17684	17588	17604	17636	17588
196	181701548	109	17076	17076	17060	17044	17044
197	181898380	98	27302	27142	27062	26934	26838
198	182095267	101	20436	20436	20436	20420	20436
199	182288638	105	17252	17284	17252	17268	17236
200	182487215	102	16692	16708	16708	16708	16692
201	182687922	100	21701	21685	21701	21733	21701
202	182880775	106	18324	18308	18324	18324	18308
203	183079837	98	21685	21717	21733	21701	21685
204	183273792	109	21221	21205	21205	21205	21173
205	183473149	112	16243	16211	16211	16211	16211
206	183674481	115	18468	18468	18484	18468	18452
207	183868495	102	22565	22549	22549	22533	22533
208	184065952	109	18948	18916	18900	18900	18900
209	184267912	98	19908	19892	19892	19876	19876
210	184458887	107	16676	16676	16660	16660	16660
211	184653859	103	17060	17108	17060	17092	17044
212	184848286	103	23125	23109	23125	23093	23093
213	185045373	104	20404	20436	20404	20388	20420
214	185242273	110	19780	19780	19780	19764	19780
215	185436048	101	21301	21269	21285	21269	21269
216	185631536	108	24341	24277	24261	24261	24229
217	186111443	107	20917	20933	20917	20917	20917
218	186301183	104	19732	19716	19684	19700	19716
219	186496545	99	21269	21269	21269	21253	21237
220	186686538	106	24517	24517	24549	24485	24469
221	186887693	111	21573	21541	21541	21525	21525
222	187081125	105	19988	19988	19988	19956	19972
223	187275032	108	21461	21445	21461	21461	21445
224	187471119	105	22037	22053	22053	22069	22037
