event	t0	dt	ADC0	ADC1	ADC2	ADC3	ADC4
603	266544942	103	21445	21445	21445	21429	21429
604	266737631	107	20116	20100	20116	20100	20084
605	266937294	105	21781	21765	21749	21765	21765
606	267136941	103	17476	17492	17492	17492	17460
607	267334951	108	20308	20308	20292	20308	20292
608	267527563	103	21941	21941	21957	21941	21925
609	267731717	103	21557	21557	21525	21541	21541
610	267927187	108	18948	18964	18916	18932	18932
611	268120424	107	21189	21173	21189	21157	21157
612	268332670	120	21285	21301	21301	21301	21285
613	268529509	102	21061	21045	21045	21029	21029
614	268723205	110	21685	21669	21701	21669	21701
615	268919914	107	23365	23349	23349	23365	23365
616	269111505	108	19236	19252	19236	19252	19252
617	269306057	105	18260	18276	18260	18260	18260
618	269500681	113	21573	21573	21573	21557	21557
619	269699488	106	22021	21989	21973	21973	22005
620	269890904	105	21893	21893	21909	21877	21861
621	270086704	107	18340	18324	18324	18324	18340
622	270572902	104	20885	20853	20869	20853	20853
623	270777218	108	21957	21941	21909	21925	21925
624	270968373	104	23941	23957	23973	23909	23909
625	271158834	109	22357	22405	22373	22373	22357
626	271348342	102	21173	21125	21093	21093	21125
627	271547393	112	22229	22213	22213	22213	22197
628	271741574	107	21669	21669	21637	21653	21621
629	271935111	106	20180	20180	20180	20180	20196
630	272132215	105	22965	22965	22949	22965	22997
631	272328066	109	25398	25350	25334	25270	25270
632	272523719	99	23653	23637	23605	23621	23589
633	272727181	107	20661	20645	20661	20661	20645
634	272920587	108	22437	22453	22437	22437	22437
635	273114579	100	23941	23925	23909	23893	23893
636	273312690	112	23109	23061	23077	23061	23045
637	273508265	105	22053	22069	22053	22037	22037
638	273698874	104	22933	22917	22901	22933	22885
639	273902028	114	18628	18644	18628	18596	18612
640	274106259	103	18468	18484	18452	18468	18468
641	274297227	101	20068	20100	20036	20068	20100
642	274488875	105	24069	24085	24037	24021	24053
643	274683880	102	20372	20372	20388	20388	20388
644	275157889	110	23477	23477	23445	23445	23429
645	275349379	118	24133	24117	24101	24101	24101
646	275544548	111	21557	21541	21541	21541	21525
647	275745244	104	21269	21253	21269	21269	21253
648	275936037	105	22037	22037	22053	22069	22069
649	276132412	107	17060	17092	17092	17076	17060
650	276322012	108	21925	21941	21925	21909	21941
651	276518711	103	21941	21941	21957	21941	21941
652	276711748	126	16163	24630	24598	24582	24582
653	276903870	111	16099	16115	16099	16131	16131
654	277111135	115	21125	21093	21093	21093	21077
655	277302270	103	20372	20404	20404	20388	20372
656	277501658	107	24870	24838	24806	24806	24790
657	277703370	103	18212	18180	18180	18196	18180
658	277897481	104	21541	21541	21525	21525	21541
659	278089947	106	24469	24469	24453	24469	24405
660	278288394	106	19812	19764	19780	19764	19748
661	278486211	99	18676	18708	18676	18676	18676
662	278679250	120	18772	18772	18772	18772	26166
663	278875738	102	13987	13987	13971	14003	13987
664	279068240	109	21141	21141	21125	21141	21125
665	279541173	107	22565	22565	22565	22549	22549
666	279733215	109	19572	19524	19540	19524	19524
667	279928276	107	23509	23493	23461	23445	23477
668	280131975	105	25782	25734	25670	25622	25606
669	280325189	107	22741	22741	22725	22709	22725
670	280520063	104	17956	17940	17924	17956	17924
671	280722968	102	18228	18228	18228	18228	18228
672	280918276	104	19364	19348	19348	19332	19348
673	281112125	106	26822	26726	26630	26534	26470
674	281312948	100	25670	25606	25558	25526	25526
675	281501880	106	23957	23957	23941	23909	23925
676	281699189	111	23109	23077	23061	23045	23045
677	281898987	107	20132	20164	20164	20132	20116
678	282086643	106	24902	24886	24854	24838	24838
679	282280260	101	17476	17476	17492	17476	17492
680	282471846	104	25126	25030	25046	25014	25030
681	282671641	103	19364	19364	19348	19348	19348
682	282866187	105	19364	19300	19300	19316	19348
683	283059909	104	21125	21157	21125	21141	21125
684	283262406	114	17172	17124	17124	17108	17124
685	283462189	112	19988	19956	19956	19924	19940
686	283928451	103	21301	21269	21285	21285	21269
687	284119274	119	22981	22965	22949	22981	22949
688	284320749	103	18836	18820	18820	18820	18804
689	284526355	110	20372	20324	20308	20308	20292
690	284719521	101	21349	21349	21365	21349	21381
691	284912855	103	18756	18756	18820	18788	18740
692	285107996	102	25894	25846	25766	25734	25686
693	285301225	99	19124	19124	19172	19108	19108
694	285495263	114	20773	20757	20757	20789	20757
695	285694557	102	18148	18148	18148	18164	18164
696	285889021	108	19220	19204	19172	19188	19220
697	286096661	105	22885	22837	22853	22853	22837
698	286293516	108	26726	26630	26518	26518	26422
699	286488254	99	17364	17364	17380	17364	17364
700	286679897	103	23637	23605	23589	23573	23573
701	286884931	106	21253	21221	21253	21237	21237
702	287076355	111	21605	21589	21589	21573	21557
703	287274846	101	20436	20420	20420	20420	20420
704	287472041	106	24565	24533	24501	24501	24485
705	287662674	107	22373	22357	22405	22389	22357
706	287860161	122	15955	15955	15955	15971	15971
707	288064640	103	18372	18340	18356	18340	18356
708	288532273	103	21717	21701	21701	21685	21669
709	288731840	109	20885	20869	20869	20869	20853
710	288919425	104	21493	21477	21477	21477	21477
711	289112449	101	22949	22917	22933	22885	22885
712	289306681	102	22245	22277	22261	22261	22245
713	289498206	110	19748	19764	19748	19732	19732
714	289690986	110	21205	21205	21189	21189	21189
715	289889135	105	19060	19076	19076	19044	19092
716	290080536	106	19988	19972	19972	19972	19988
717	290274687	102	13203	13139	13155	13155	13187
718	290484612	112	19908	19940	19940	19892	19876
719	290674997	106	21829	21813	21813	21813	21813
720	290877170	109	15395	15395	15395	15411	15395
721	291071896	112	27046	26854	26774	26694	26598
722	291268076	104	17236	17236	17252	17220	17220
723	291457695	99	17204	17188	17204	17204	17188
724	291650441	105	21157	21173	21157	21157	21141
725	291845899	101	22277	22277	22277	22261	22277
726	292038111	104	21781	21781	21781	21797	21765
727	292233536	107	22053	22021	22021	22005	22005
728	292427362	102	23189	23173	23173	23173	23173
729	292895131	112	22549	22533	22485	22501	22485
730	293094110	108	22117	22117	22117	22149	22117
731	293289779	107	21685	21685	21685	21669	21701
732	293484389	104	21893	21877	21893	21861	21861
733	293682118	115	27270	27126	26982	26806	26710
734	293872591	102	18148	18148	18132	18132	18116
735	294067806	110	20404	20436	20420	20452	20420
736	294263760	111	22069	22053	22085	22053	22053
737	294455106	103	23493	23493	23477	23461	23461
738	294648657	112	24758	24758	24742	24726	24710
739	294851487	103	19588	19540	19588	19556	19556
740	295054971	107	18756	18756	18756	18740	18724
741	295249318	106	17876	17844	17844	17828	17860
742	295449550	109	20997	21013	20997	20965	20997
743	295642983	104	21285	21285	21269	21285	21269
744	295838954	108	26422	26358	26262	26198	26166
745	296041406	109	22549	22533	22517	22549	22501
746	296237819	108	18724	18692	18692	18692	18708
747	296426532	110	23429	23413	23397	23429	23429
748	296615982	111	19556	19540	19540	19508	19524
749	296814055	105	20613	20597	20629	20613	20613
750	297287196	100	24549	24533	24533	24517	24517
751	297477244	111	21029	21061	21029	21013	21029
752	297669319	115	24742	24742	24710	24646	24630
753	297871431	104	16676	16644	16660	16660	16660
754	298060255	103	23749	23749	23765	23765	23717
755	298253686	108	18308	18276	18276	18276	18260
756	298445886	111	19300	19300	19284	19300	19300
757	298643841	110	21925	21925	21925	21925	21925
758	298837537	103	21013	21013	21013	21013	21013
759	299025835	105	23973	23973	23925	23925	23909
760	299222712	109	21365	21333	21349	21333	21333
761	299420459	106	17940	17940	17956	17940	17908
762	299611145	98	18196	18196	18196	18196	18180
763	299811263	108	20036	20052	20036	20052	20036
764	300004312	105	19428	19444	19444	19412	19428
765	300196081	107	20949	20965	20949	20949	20949
766	300393850	108	22453	22421	22405	22405	22373
767	300588038	102	20420	20388	20388	20372	20388
768	300782568	102	21653	21669	21669	21653	21653
769	300981439	106	16580	16580	16580	16596	16580
770	301172631	109	23749	23717	23765	23717	23717
771	301361989	105	21381	21349	21381	21333	21381
772	301826812	108	21173	21173	21189	21205	21173
773	302012125	105	26214	26198	26134	26038	25990
774	302196878	118	18660	18660	18660	18660	18644
775	302397126	108	17252	17220	17220	17220	17220
776	302583915	107	20324	20308	20308	20292	20308
777	302772807	98	19716	19732	19716	19732	19716
778	302958959	108	19172	19204	19204	19156	19156
779	303154288	110	26342	26278	26198	26150	26086
780	303341743	106	21429	21429	21413	21429	21429
781	303531068	106	20677	20661	20645	20645	20645
782	303718999	101	18660	18644	18660	18644	18644
783	304007109	108	21349	21317	21333	21317	21317
784	304205577	112	20244	20260	20244	20260	20228
785	304403316	103	17284	17284	17252	17252	17252
786	304598554	106	24133	24101	24085	24085	24069
787	304786684	118	17604	17604	17588	17588	17572
788	304979132	101	18820	18820	18836	18804	18772
789	305182258	110	20533	20533	20517	20533	20517
790	305380334	104	24533	24533	24533	24501	24485
791	305572270	111	21349	21317	21333	21333	21317
792	305762487	107	25606	25558	25526	25494	25462
793	306238930	107	25750	25670	25654	25606	25558
794	306438929	109	20853	20821	20821	20805	20821
795	306629712	102	20789	20789	20773	20773	20757
796	306821741	97	20468	20485	20468	20452	20485
797	307008209	106	19460	19460	19476	19476	19460
798	307207147	112	19140	19156	19140	19140	19140
799	307398322	107	26006	25942	25910	25862	25814
800	307590917	105	19908	19924	19924	19908	19908
801	307785990	102	23765	23797	23749	23749	23733
802	307976392	103	19444	19428	19428	19428	19460
803	308167352	105	20773	20773	20757	20757	20757
804	308370327	111	22181	22181	22165	22165	22197
805	308564728	101	24357	24357	24357	24325	24325
806	308758886	112	23701	23717	23669	23717	23653
807	308954833	106	23013	22997	22997	22981	22981
808	309152732	101	18356	18340	18340	18324	18324
809	309344722	102	19924	19924	19924	19924	19924
810	309550164	112	15667	15651	15667	15667	15667
811	309740033	108	21733	21685	21685	21669	21669
812	309933209	102	21093	21077	21061	21061	21077
813	310123353	108	21589	21557	21573	21573	21589
814	310321439	104	20565	20549	20517	20549	20533
815	310798915	109	21445	21429	21445	21445	21429
816	310993521	108	23205	23253	23205	23189	23173
817	311189791	104	19988	19988	19988	19988	19988
818	311391541	107	18788	18772	18756	18756	18772
819	311583981	118	21669	21653	21653	21637	21637
820	311777563	99	21941	21989	21941	21941	21941
821	311974499	105	20933	20933	20917	20917	20933
822	312170255	106	17556	17556	17556	17540	17540
823	312360899	105	21509	21477	21461	21461	21461
824	312553719	104	22565	22565	22565	22549	22549
825	312761321	113	19412	19396	19396	19396	19380
826	312955113	108	23477	23461	23461	23445	23445
827	313150394	110	15539	15539	15539	15539	15539
828	313349095	106	19332	19300	19300	19300	19348
829	313545410	105	18372	18404	18404	18420	18388
830	313740684	114	20581	20613	20581	20581	20565
831	313938100	101	22837	22805	22805	22789	22789
832	314131858	110	27270	27094	26982	26870	26790
833	314327012	99	26934	26838	26726	26646	26550
834	314521372	107	19556	19524	19540	19540	19540
835	314710675	107	22165	22149	22149	22165	22149
836	316248627	118	20581	20581	20565	20549	20565
837	316437714	104	20837	20837	20869	20837	20869
838	316639906	106	18100	18068	18052	18052	18068
839	316831773	112	22821	22869	22837	22805	22805
840	317028064	104	24277	24293	24245	24261	24245
841	317232315	105	16724	16692	16724	16708	16676
842	317426496	105	19364	19380	19348	19348	19348
843	317620059	112	21077	21077	21045	21061	21061
844	317821545	110	22485	22501	22485	22469	22469
845	318011952	106	18500	18500	18468	18500	18500
846	318202233	105	26902	26774	26710	26630	26534
847	318413503	109	20388	20388	20372	20356	20372
848	318612317	100	17812	17812	17828	17796	17796
849	318806170	110	22405	22437	22469	22405	22405
850	319006507	111	20837	20853	20821	20821	20821
851	319196028	99	20116	20148	20100	20100	20100
852	319392099	103	18468	18452	18436	18468	18436
853	319587801	109	23845	23845	23829	23829	23861
854	319785419	105	19188	19156	19172	19156	19156
855	319978649	102	23061	23093	23045	23077	23013
856	320170801	114	26406	26294	26230	26182	26118
857	320641175	108	17540	17508	17524	17508	17540
858	320841016	110	21717	21765	21781	21717	21717
859	321037878	102	20228	20228	20212	20196	20196
860	321230054	123	18052	18004	18020	18020	18004
861	321420810	109	27318	27142	27014	26902	26806
862	321616297	100	22629	22597	22581	22565	22565
863	321808931	107	19620	19620	19620	19636	19652
864	322012796	108	18340	18324	18324	18308	18324
865	322209830	103	24517	24533	24501	24501	24485
866	322403183	112	24710	24694	24662	24646	24630
867	322595528	107	21813	21829	21781	21797	21781
868	322800591	111	20533	20549	20533	20565	20517
869	322989267	100	24726	24710	24678	24662	24646
870	323183943	104	19668	19636	19636	19636	19636
871	323382955	106	23733	23717	23765	23701	23685
872	323571972	103	22389	22389	22373	22405	22389
873	323767859	101	21813	21797	21781	21813	21765
874	323970385	108	20148	20100	20116	20116	20100
875	324161100	105	20997	20997	20997	20965	20949
876	324354635	111	20997	20981	20997	20965	20997
877	324549732	100	23941	23941	23925	23941	23909
878	324752066	103	26022	25942	25894	25878	25814
879	325233165	108	17620	17572	17572	17572	17588
880	325424891	103	18932	18900	18900	18900	18916
881	325615449	111	20997	20981	20949	20949	20949
882	325813866	104	17460	17476	17460	17444	17444
883	326002777	108	20164	20148	20100	20100	20116
884	326194095	120	19716	19700	19684	19684	19700
885	326395684	103	19684	19700	19684	19700	19700
886	326593437	107	22485	22453	22437	22437	22421
887	326785276	110	22005	21989	21925	21925	21925
888	326978986	106	19732	19732	19716	19732	19732
889	327184331	104	22309	22277	22293	22277	22293
890	327378221	120	19796	19796	19764	19780	19828
891	327570059	100	21797	21765	21781	21797	21765
892	327768873	104	27286	27142	27030	26918	26822
893	327959303	109	22581	22581	22581	22565	22565
894	328148934	100	23189	23189	23189	23173	23173
895	328346402	110	20693	20709	20709	20709	20693
896	328535795	105	22085	22085	22085	22069	22053
897	328730999	99	16900	16900	16900	16900	16868
898	328925882	105	18836	18868	18852	18852	18884
899	329118356	107	22165	22181	22165	22149	22165
900	329593283	105	20805	20789	20773	20789	20757
901	329787187	116	24373	24357	24309	24293	24293
902	329987505	106	20933	20901	20901	20901	20869
903	330184896	106	17476	17476	17444	17460	17460
904	330380770	110	21957	21941	21941	21957	21941
905	330570959	107	13955	13923	13923	13923	13907
906	330764978	107	26070	25958	25926	25878	25862
907	330955811	108	24565	24565	24565	24565	24565
908	331149681	108	20228	20228	20228	20228	20228
909	331350781	104	22245	22245	22229	22229	22229
910	331541416	116	22005	22021	22005	22005	22005
911	331739583	112	22533	22533	22549	22533	22485
912	331939845	111	18228	18228	18212	18212	18212
913	332127848	122	20757	20773	20773	20757	20773
914	332322344	105	26886	26774	26678	26582	26534
915	332529685	111	21845	21829	21813	21813	21797
916	332731937	102	21541	21509	21509	21509	21509
917	332925401	105	18756	18756	18740	18756	18740
918	333113575	104	15699	15715	15699	15699	15699
919	333317313	102	21317	21333	21333	21301	21317
920	333511151	109	20100	20116	20132	20068	20100
921	333985453	105	18148	18116	18100	18084	18084
922	334177295	107	20276	20228	20228	20196	20196
923	334369553	96	20597	20565	20549	20549	20565
924	334573536	103	16211	16227	16259	16227	16291
925	334774096	106	21429	21429	21445	21429	21397
926	334972475	107	21349	21365	21333	21333	21349
927	335172224	108	20517	20517	20517	20533	20517
928	335365973	105	23141	23173	23173	23141	23125
929	335554101	107	24325	24293	24309	24277	24309
930	335751806	105	21925	21909	21909	21909	21909
931	335944753	106	24565	24565	24565	24565	24565
932	336147675	103	19876	19860	19876	19860	19860
933	336344832	104	21157	21141	21141	21093	21125
934	336535401	117	19316	19300	19284	19284	19316
935	336729903	109	21397	21413	21381	21381	21381
936	336929417	109	27062	26950	26822	26758	26662
937	337125106	111	19956	19988	19988	19972	19972
938	337317888	99	16516	16532	16500	16516	16500
939	337518382	108	14611	14563	14611	14611	14611
940	337710229	112	21205	21189	21205	21173	21173
941	337902825	112	23093	23093	23109	23109	23093
942	338095576	106	21685	21669	21685	21685	21653
943	338565439	112	22741	22725	22709	22709	22709
944	338760680	110	23429	23429	23429	23429	23381
945	338957095	103	21077	21045	21045	21061	21045
946	339152444	107	21573	21573	21589	21589	21541
947	339352145	103	17508	17508	17524	17540	17572
948	339545871	110	20244	20244	20260	20244	20244
949	339740791	114	21317	21301	21333	21317	21301
950	339936009	102	21861	21845	21829	21829	21797
951	340132513	105	17220	17220	17284	17236	17220
952	340325031	107	23637	23605	23605	23589	23621
953	340522159	103	22229	22229	22229	22213	22245
954	340714489	107	19716	19732	19716	19716	19732
955	340904661	101	22613	22613	22613	22597	22597
956	341098366	105	19732	19732	19716	19716	19732
957	341294067	105	20404	20388	20372	20388	20372
958	341492783	104	25190	25158	25158	25126	25094
959	341687271	106	22869	22853	22869	22853	22837
960	341885915	107	27558	27382	27222	27078	26966
961	342081062	110	18452	18436	18420	18436	18436
962	342275760	110	18660	18692	18660	18660	18660
963	342477802	111	22645	22629	22645	22613	22629
964	342950841	105	20533	20533	20549	20517	20517
965	343147629	102	19988	19988	19972	19988	19972
966	343337660	120	22789	22757	22757	22773	22741
967	343528663	105	27430	27222	27110	26998	26886
968	343725506	109	21541	21557	21525	21541	21541
969	343922136	105	22725	22725	22693	22693	22709
970	344114517	108	19268	19268	19268	19268	19284
971	344313604	105	21429	21413	21445	21397	21397
972	344504609	105	23813	23749	23733	23733	23701
973	344701833	105	20036	20036	20052	20052	20036
974	344893816	105	19828	19812	19796	19812	19796
975	345111879	107	14899	14883	14883	14867	14883
976	345305695	108	14515	14499	14499	14499	14499
977	345503692	107	21605	21605	21605	21589	21589
978	345691554	99	24469	24453	24485	24421	24389
979	345884952	106	24197	24165	24165	24181	24149
980	346080568	108	16916	16932	16932	16932	16900
981	346278133	102	25894	25862	25814	25766	25702
982	346471307	109	21957	21941	21941	21925	21925
983	346665785	104	27142	27030	26870	26774	26694
984	346860326	105	17700	17716	17716	17716	17700
985	347340580	114	26502	26406	26326	26278	26198
986	347528066	105	20725	20693	20693	20709	20693
987	347721125	119	17796	17732	17780	17748	17748
988	347913639	108	21429	21429	21429	21429	21397
989	348106433	106	18484	18500	18500	18500	18500
990	348299087	113	18740	18740	18740	18724	18724
991	348492219	110	26598	26518	26374	26390	26278
992	348687327	98	21605	21589	21589	21589	21589
993	348882483	103	21029	21045	21029	21029	21013
994	349074309	106	16644	16660	16692	16644	16612
995	349270015	110	22373	22341	22341	22325	22341
996	349470432	109	20020	20020	20020	20020	20052
997	349663553	103	22501	22501	22485	22469	22469
998	349861160	101	21813	21829	21813	21813	21813
999	350054630	104	26902	26790	26694	26598	26534
1000	350249290	105	21989	21941	21909	21941	21925
1001	350448058	105	25606	25542	25526	25494	25446
1002	350637383	106	17892	17908	17892	17876	17892
1003	350829464	103	24117	24085	24085	24069	24053
1004	351020280	113	20933	20933	20917	20917	20917
1005	351215096	109	19476	19476	19476	19460	19476
1006	351410587	108	20693	20677	20677	20677	20677
1007	351885864	112	18372	18356	18356	18356	18340
1008	352084054	110	20693	20677	20693	20677	20693
1009	352284655	106	21205	21205	21189	21189	21173
1010	352478175	99	16227	16211	16211	16195	16195
1011	352675077	109	19924	19924	19924	19924	19924
1012	352875817	100	22757	22757	22773	22741	22725
1013	353077233	101	27222	27110	26966	26886	26790
1014	353265287	108	18580	18564	18564	18564	18564
1015	353457047	105	21269	21285	21301	21253	21253
1016	353654654	104	17252	17268	17252	17236	17252
1017	353856535	113	21525	21509	21493	21509	21509
1018	354048282	100	18756	18756	18772	18756	18740
1019	354247071	112	20228	20212	20196	20196	20244
1020	354442106	106	22725	22709	22709	22709	22709
1021	354637800	112	18836	18836	18852	18852	18836
1022	354837997	103	17108	17076	17028	17076	17124
1023	355032378	108	16948	16948	16948	16932	16980
1024	355234967	105	20404	20404	20388	20404	20404
1025	355434252	106	22661	22629	22613	22597	22597
1026	355624106	109	18180	18132	18180	18196	18180
1027	355813989	105	18692	18692	18724	18692	18692
1028	356194192	104	21893	21861	21845	21861	21909
1029	356386417	105	19556	19540	19524	19540	19524
1030	356587048	107	20517	20549	20517	20517	20517
1031	356776870	105	19796	19780	19764	19764	19764
1032	356967427	102	19332	19300	19300	19300	19316
1033	357162308	105	21557	21573	21589	21557	21573
1034	357358488	105	21205	21205	21205	21205	21205
1035	357557427	107	21301	21477	21477	21445	21445
1036	357752845	105	21845	21813	21813	21829	21813
1037	357953408	112	18740	18788	18740	18772	18740
1038	358151835	105	17748	17764	17748	17780	17764
1039	358345288	107	27062	26966	26822	26726	26646
1040	358547992	104	22005	22037	21989	22005	21989
1041	358737130	110	20821	20837	20821	20821	20805
1042	358935054	102	20901	20885	20885	20885	20869
1043	359131375	106	20805	20821	20805	20821	20821
1044	359330327	103	19540	19556	19540	19540	19572
1045	359522248	104	19988	20020	20004	20036	20020
1046	359727698	106	19732	19732	19700	19668	19684
1047	359920694	101	25974	25958	25878	25862	25782
1048	360396686	106	21125	21125	21157	21109	21093
1049	360590860	107	19860	19828	19796	19812	19796
1050	360779519	107	20837	20821	20821	20821	20805
1051	360979846	104	21717	21733	21717	21717	21701
1052	361171150	110	22981	22981	23013	22965	22981
1053	361364424	106	18756	18756	18756	18756	18724
1054	361565551	105	25414	25430	25334	25366	25286
1055	361757359	104	19508	19476	19508	19492	19508
1056	361956344	105	19924	19924	19940	19924	19924
1057	362152048	106	20501	20501	20501	20485	20501
1058	362353262	103	21909	21893	21909	21877	21909
1059	362558039	106	26118	26054	26022	25958	25910
1060	362760785	100	18068	18068	18068	18068	18052
1061	362952341	107	21637	21637	21637	21637	21637
1062	363141347	103	21909	21909	21861	21893	21845
1063	363337510	107	25654	25606	25558	25542	25558
1064	363533964	102	24021	23989	23989	23989	23957
1065	363728548	105	21845	21829	21845	21829	21829
1066	363918321	105	26774	26678	26582	26518	26470
1067	364113899	106	21685	21669	21685	21653	21653
1068	364311110	107	20356	20340	20356	20356	20324
1069	364787271	124	20517	20501	20485	20485	20485
1070	364981357	105	19732	19684	19716	19684	19684
1071	365176334	108	21189	21205	21221	21205	21173
1072	365375708	106	25446	25430	25414	25366	25334
1073	365576148	106	19028	19012	19028	19012	19028
1074	365765143	102	18948	18948	18900	18964	18900
1075	365961325	105	23941	23941	23893	23941	23877
1076	366152640	102	21717	21701	21717	21749	21717
1077	366344215	108	22165	22165	22165	22165	22165
1078	366542178	110	25478	25430	25382	25382	25366
1079	366736956	100	20404	20404	20372	20372	20388
1080	366936385	106	23349	23381	23349	23349	23349
1081	367134822	105	19060	19044	19076	19076	19044
1082	367326173	103	24565	24565	24565	24565	24565
1083	367522148	106	20276	20276	20260	20276	20308
1084	367724364	102	22341	22309	22309	22341	22293
1085	367920272	107	20004	20020	20020	20020	20020
1086	368110689	106	22933	22901	22869	22853	22853
1087	368299760	100	26646	26518	26454	26406	26326
1088	368494148	98	20533	20517	20501	20501	20485
1089	368689794	102	18500	18484	18484	18484	18452
1090	369168755	112	19332	19332	19332	19332	19316
1091	369361580	109	19156	19140	19172	19140	19124
1092	369561025	105	24630	24565	24565	24565	24565
1093	369758878	103	22469	22437	22437	22437	22437
1094	369953321	105	22805	22821	22805	22805	22805
1095	370145828	99	20132	20148	20116	20100	20100
1096	370349468	123	22005	21989	21989	21973	21989
1097	370543604	108	20485	20501	20501	20485	20517
1098	370732167	107	19988	19956	19972	19940	19940
1099	370929672	102	22293	22261	22277	22261	22261
1100	371120198	105	20773	20773	20773	20757	20773
1101	371330403	110	19300	19284	19268	19252	19252
1102	371531379	106	18356	18324	18340	18324	18340
1103	371731226	106	20885	20885	20885	20901	20869
1104	371924781	103	21797	21813	21797	21781	21797
1105	372124005	103	23861	23813	23765	23765	23765
1106	372318280	106	23109	23077	23077	23061	23077
1107	372512545	114	21093	21093	21077	21077	21077
1108	372711273	114	19172	19156	19140	19140	19156
1109	372917074	104	20677	20677	20661	20693	20661
1110	373111684	101	22229	22229	22229	22229	22229
1111	373580673	108	21157	21141	21157	21157	21141
1112	373769713	103	23861	23861	23845	23845	23861
1113	373968052	107	18228	18244	18228	18212	18244
1114	374159051	101	22725	22693	22693	22693	22709
1115	374352951	106	27222	27046	26934	26838	26790
1116	374548944	114	23477	23477	23445	23445	23445
1117	374744166	102	21749	21717	21733	21733	21701
1118	374936697	114	19876	19908	19892	19876	19844
1119	375137897	103	20821	20789	20789	20773	20773
1120	375336269	110	25590	25526	25510	25478	25430
1121	375532359	107	20180	20116	20132	20116	20100
1122	375735373	107	19524	19508	19524	19524	19524
1123	375924345	104	26134	26070	26022	25958	25926
1124	376115301	101	24357	24341	24341	24341	24309
1125	376312452	106	19540	19508	19492	19508	19492
1126	376512435	100	23557	23525	23493	23477	23493
1127	376703434	103	21957	21941	21925	21941	21941
1128	376897965	107	17588	17572	17556	17540	17540
1129	377098759	99	21765	21717	21765	21717	21685
1130	377294932	100	21861	21861	21861	21861	21861
1131	377487561	108	17972	17956	17940	17940	17940
1132	377970608	106	15363	15363	15331	15331	15347
1133	378159854	105	21397	21413	21397	21397	21397
1134	378354592	103	22773	22757	22741	22741	22725
1135	378565481	104	16628	16612	16644	16628	16628
1136	378757162	107	26838	26710	26646	26566	26486
1137	378953107	108	19508	19492	19556	19508	19492
1138	379143988	110	21493	21461	21477	21461	21477
1139	379334988	104	25222	25174	25126	25110	25094
1140	379536954	101	26870	26726	26662	26566	26518
1141	379735512	99	18516	18500	18500	18500	18484
1142	379930562	111	19940	19972	19988	19940	19956
1143	380146141	111	20533	20533	20517	20501	20517
1144	380339380	116	19332	19268	22629	22613	22629
1145	380530840	109	22949	22965	22933	22965	22949
1146	380726681	104	18916	18916	18868	18884	18884
1147	380916171	108	22805	22821	22805	22805	22837
1148	381111256	108	20901	20885	20885	20901	20869
1149	381302665	104	17700	17700	17700	17716	17684
1150	381500105	110	21477	21477	21461	21461	21461
1151	381689327	106	22869	22885	22853	22869	22869
1152	381883025	100	20436	20452	20452	20436	20420
1153	382360766	102	16932	16932	16916	16916	16932
1154	382563940	103	18420	18404	18372	18388	18436
1155	382755462	110	18980	18948	18948	18948	18980
1156	382954521	107	19988	20020	19988	20004	20004
1157	383145991	104	17364	17364	17364	17348	17364
1158	383341992	112	21509	21429	21461	21445	21429
1159	383533104	107	21989	22021	21989	21973	21973
1160	383726077	108	18820	18804	18788	18820	18788
1161	383924536	120	20773	20693	20693	20693	20693
1162	384116221	103	21845	21845	21829	21845	21829
1163	384316464	111	20212	20228	20212	20196	20212
1164	384513859	103	22565	22565	22565	22549	22533
1165	384708941	122	19732	19732	19716	19716	25734
1166	384906441	108	21125	21157	21141	21109	21157
1167	385108671	102	17956	17876	17876	17860	17876
1168	385304717	102	22197	22197	22197	22181	22197
1169	385497773	103	23525	23525	23493	23493	23493
1170	385701099	108	21269	21269	21253	21253	21237
1171	385891510	103	19012	19076	19028	19012	19028
1172	386081713	112	21445	21445	21429	21477	21429
1173	386274489	107	17700	17684	17684	17684	17684
1174	386757227	109	19940	19924	19924	19924	19924
1175	386953380	102	23685	23685	23653	23685	23637
1176	387148502	107	21285	21285	21285	21285	21317
1177	387342704	106	20292	20260	20308	20260	20244
1178	387544515	112	22117	22133	22117	22101	22101
1179	387738709	106	24133	24133	24117	24101	24101
1180	387933314	109	22101	22101	22085	22085	22085
1181	388129065	103	20485	20485	20485	20452	20485
1182	388322902	109	21845	21861	21845	21829	21845
1183	388517358	110	19140	19124	19172	19124	19108
1184	388724883	106	20404	20372	20372	20372	20372
1185	388910421	102	23861	23845	23829	23829	23813
1186	389105116	105	20885	20901	20885	20885	20885
1187	389296090	108	22373	22405	22357	22373	22421
1188	389497040	113	25814	25750	25702	25654	25622
1189	389691974	99	21669	21669	21669	21669	21637
1190	389884958	109	19588	19588	19588	19588	19604
1191	390084021	106	20869	20821	20837	20837	20805
1192	390285194	101	21589	21557	21541	21525	21525
1193	390483091	111	22645	22629	22613	22613	22629
1194	390680549	102	21989	21973	21989	21957	21941
1195	391142366	119	23269	23253	23253	23253	23237
1196	391339599	110	17380	17412	17380	17428	17412
1197	391532633	106	23765	23765	23749	23749	23733
1198	391724562	103	21797	21781	21797	21781	21797
1199	391919716	106	21925	21925	21925	21941	21909
1200	392111967	107	21509	21509	21557	21509	21477
