pulse_val, e_count, adc_val
190	9	290644067	61	91	118	146	27414	19108	12691	9778	7745
210	0	296142429	66	94	122	151	21253	14291	9730	7617	5937
210	1	296642440	57	86	115	142	19748	13699	9778	7617	5905
210	2	297142415	60	90	119	147	25814	18244	12130	9346	7377
210	3	297642439	60	91	120	148	21141	14915	9954	7777	6033
210	4	298142441	59	87	115	143	21429	15155	10418	8145	6353
210	5	298642417	60	90	118	147	27862	19460	13107	10050	7857
210	6	299142454	63	96	127	155	20020	14147	9154	6929	5313
210	7	299642436	61	92	121	150	24357	17252	11426	8658	6769
210	8	300142440	62	92	120	147	24213	16644	11346	8658	6833
210	9	300642438	64	95	124	153	25382	17236	11554	8738	6865
230	0	306169003	66	96	124	151	24165	17044	10882	8290	6593
230	1	306668989	60	91	119	147	28839	19988	13411	10162	8001
230	2	307169017	56	84	112	141	22533	15907	11218	8642	6833
230	3	307669015	57	85	114	143	23637	16548	11586	8930	7057
230	4	308169023	63	93	121	149	22437	15747	10402	8145	6305
230	5	308669021	61	90	118	146	23493	16516	11170	8594	6753
230	6	309169002	60	88	116	145	30215	20148	13907	10722	8274
230	7	309669027	65	94	121	149	23445	16548	10786	8274	6561
230	8	310169026	55	85	113	141	24469	17348	12178	9346	7377
230	9	310669049	57	86	114	142	20276	14371	9986	7841	6065
